,,,,Per Game,Per Game,Per Game,Per Game,,,,,Corsi (EV),PDO (EV),Zone Starts (EV),Zone Starts (EV),Ice Time,Even Strength,Power Play,Scoring,Scoring,Goals,Goals,Scoring,Assists,Assists,Power Play,Power Play,Scoring
Gabriel Landeskog,19,COL,LW,0.63,0.27,0.37,3.29,270,8.1,406,66.5,5,100.9,55.1,44.9,18:37,1526,2:09,82,22,16,6,30,22,6,0.073,0.073,52
Adam Larsson,19,NJD,D,0.28,0.03,0.25,1.05,68,2.9,153,44.4,-0.8,99.2,52.9,47.1,20:37,1340,1:38,65,2,2,0,16,11,4,0.000,0.062,18
Nino Niederreiter,19,NYI,RW,0.02,0.02,0.00,1.35,74,1.4,120,61.7,-1.6,89.7,46.3,53.7,10:07,556,0:24,55,1,1,0,0,0,0,0.000,0.000,1
Brandon Saad,19,CHI,LW,0.00,0.00,0.00,1.50,3,0,4,75,-25.8,100,62.5,37.5,14:01,28,1:22,2,0,0,0,0,0,0,0.000,0.000,0
Jaden Schwartz,19,STL,C,0.43,0.29,0.14,0.86,6,33.3,9,66.7,-9.6,102.7,52.6,47.4,11:41,82,0:49,7,2,1,1,1,1,0,0.143,0.000,3
Jeff Skinner,19,CAR,RW,0.69,0.31,0.38,3.28,210,9.5,371,56.3,2.2,99.2,55.7,44.3,18:37,1192,3:21,64,20,16,4,24,15,9,0.063,0.141,44
Devante Smith-Pelly,19,ANA,RW,0.27,0.14,0.12,1.35,66,10.6,117,56.4,-7,97.6,52.5,47.5,12:03,590,0:42,49,7,5,1,6,5,1,0.020,0.020,13
Carter Ashton,20,TOR,RW,0.00,0.00,0.00,1.47,22,0,32,68.8,-3.7,87,54,46,10:25,156,0:03,15,0,0,0,0,0,0,0.000,0.000,0
Tyson Barrie,20,COL,D,0.00,0.00,0.00,1.50,15,0,32,46.9,5,95.8,71.3,28.8,17:39,176,1:10,10,0,0,0,0,0,0,0.000,0.000,0
Alexander Burmistrov,20,WPG,C,0.37,0.17,0.20,1.62,123,10.6,231,53.2,2.5,99.8,59.1,40.9,16:40,1266,1:13,76,13,11,1,15,13,2,0.013,0.026,28
Casey Cizikas,20,NYI,C,0.27,0.00,0.27,0.80,12,0,24,50,1.2,101.6,41.7,58.3,10:36,159,0:05,15,0,0,0,4,4,0,0.000,0.000,4
Calvin de Haan,20,NYI,D,0.00,0.00,0.00,2.00,2,0,3,66.7,27.9,111.1,71.4,28.6,13:01,13,0:00,1,0,0,0,0,0,0,0.000,0.000,0
Simon Despres,20,PIT,D,0.22,0.06,0.17,1.22,22,4.5,44,50,2.2,101.2,64.1,35.9,14:13,256,1:06,18,1,0,1,3,3,0,0.056,0.000,4
Cody Eakin,20,WSH,C,0.27,0.13,0.13,1.03,31,12.9,51,60.8,3.7,102.6,51.6,48.4,9:17,278,0:21,30,4,4,0,4,4,0,0.000,0.000,8
Oliver Ekman-Larsson,20,PHX,D,0.39,0.16,0.23,1.79,147,8.8,333,44.1,2.3,100.1,47.9,52.1,22:07,1813,2:04,82,13,10,2,19,13,6,0.024,0.073,32
Tim Erixon,20,NYR,D,0.11,0.00,0.11,0.50,9,0,18,50,-3.2,100.6,50,50,13:00,234,0:41,18,0,0,0,2,2,0,0.000,0.000,2
Marcus Foligno,20,BUF,LW,0.93,0.43,0.50,1.64,23,26.1,43,53.5,-4.7,107.5,56.1,43.9,15:49,221,1:16,14,6,4,2,7,6,1,0.143,0.071,13
Cam Fowler,20,ANA,D,0.35,0.06,0.29,1.50,123,4.1,265,46,2.6,96.2,51,49,23:16,1907,3:39,82,5,3,2,24,15,9,0.024,0.110,29
Scott Glennie,20,DAL,RW,0.00,0.00,0.00,0.00,0,,1,0,29.6,100,33.3,66.7,9:35,10,2:34,1,0,0,0,0,0,0,0.000,0.000,0
Erik Gudbranson,20,FLA,D,0.11,0.03,0.08,1.06,76,2.6,166,45.8,-1.2,96.5,51.3,48.7,14:12,1022,0:29,72,2,2,0,6,5,1,0.000,0.014,8
Taylor Hall,20,EDM,LW,0.87,0.44,0.43,3.39,207,13,358,57.5,6.2,99.5,57.2,42.8,18:13,1111,3:03,61,27,14,13,26,18,8,0.213,0.131,53
Roman Horak,20,CGY,C,0.18,0.05,0.13,0.87,53,5.7,88,60.2,-2.2,102.9,50.5,49.5,10:12,622,0:26,61,3,3,0,8,8,0,0.000,0.000,11
Jacob Josefson,20,NJD,C,0.22,0.05,0.17,0.90,37,5.4,59,62.7,1.2,105.2,54.9,45.1,12:06,496,0:09,41,2,2,0,7,7,0,0.000,0.000,9
Evander Kane,20,WPG,C,0.77,0.41,0.36,3.88,287,10.5,460,62.4,3,100.6,58.5,41.5,17:31,1296,2:11,74,30,24,6,27,24,3,0.081,0.041,57
Torey Krug,20,BOS,D,0.50,0.00,0.50,1.50,3,0,7,42.9,-5.8,102,41.2,58.8,17:08,34,1:04,2,0,0,0,1,1,0,0.000,0.000,1
Anton Lander,20,EDM,C,0.11,0.04,0.07,0.96,54,3.7,84,64.3,-7.4,97,50.8,49.2,10:37,594,0:06,56,2,1,0,4,4,0,0.000,0.000,6
Nick Leddy,20,CHI,D,0.45,0.04,0.41,1.15,94,3.2,201,46.8,-0.4,97.8,55.1,44.9,22:05,1811,2:06,82,3,3,0,34,23,11,0.000,0.134,37
Jeremy Morin,20,CHI,LW,0.00,0.00,0.00,0.67,2,0,3,66.7,-7.7,87.5,55.6,44.4,8:52,27,0:06,3,0,0,0,0,0,0,0.000,0.000,0
Ryan O'Reilly,20,COL,C,0.68,0.22,0.46,2.33,189,9.5,302,62.6,3.1,98.6,49.7,50.3,19:32,1582,2:21,81,18,14,4,37,26,11,0.049,0.136,55
Dmitry Orlov,20,WSH,D,0.32,0.05,0.27,0.85,51,5.9,112,45.5,3.3,100.6,51.1,48.9,16:52,1012,0:44,60,3,3,0,16,14,2,0.000,0.033,19
Magnus Paajarvi,20,EDM,LW,0.20,0.05,0.15,1.93,79,2.5,129,61.2,2.3,97.1,47.3,52.7,13:11,540,1:01,41,2,2,0,6,4,2,0.000,0.049,8
Kyle Palmieri,20,ANA,C,0.39,0.22,0.17,1.89,34,11.8,70,48.6,1.5,105,50.5,49.5,11:31,207,0:56,18,4,4,0,3,3,0,0.000,0.000,7
Brandon Pirri,20,CHI,C,0.40,0.00,0.40,1.00,5,0,12,41.7,-13.3,107.5,64.1,35.9,13:31,68,0:39,5,0,0,0,2,2,0,0.000,0.000,2
Brayden Schenn,20,PHI,C,0.33,0.22,0.11,1.80,97,12.4,173,56.1,-4.1,98,54.4,45.6,14:07,763,1:41,54,12,8,4,6,5,1,0.074,0.019,18
Tyler Seguin,20,BOS,C,0.83,0.36,0.47,2.99,242,12,429,56.4,5.5,102.7,56.4,43.6,16:56,1372,2:26,81,29,24,5,38,28,10,0.062,0.123,67
Andrew Shaw,20,CHI,C,0.62,0.32,0.30,2.00,74,16.2,130,56.9,-3.4,98.9,42,58,15:12,563,1:35,37,12,12,0,11,7,4,0.000,0.108,23
Riley Sheahan,20,DET,C,0.00,0.00,0.00,3.00,3,0,3,100,-10.4,,25,75,6:03,6,0:00,1,0,0,0,0,0,0,0.000,0.000,0
Reilly Smith,20,DAL,RW,0.00,0.00,0.00,0.67,2,0,4,50,-16.6,83.3,40,60,8:24,25,0:54,3,0,0,0,0,0,0,0.000,0.000,0
Jason Zucker,20,MIN,LW,0.33,0.00,0.33,1.67,10,0,16,62.5,-8.8,98,51.7,48.3,11:02,66,0:17,6,0,0,0,2,2,0,0.000,0.000,2
Luke Adam,21,BUF,LW,0.38,0.19,0.19,1.71,89,11.2,167,53.3,1.8,99.6,57.5,42.5,12:24,645,1:38,52,10,10,0,10,7,3,0.000,0.058,20
Zach Bogosian,21,WPG,D,0.46,0.08,0.38,2.31,150,3.3,349,43,-1.9,98.6,49,51,23:19,1516,2:27,65,5,4,1,25,19,6,0.015,0.092,30
Lance Bouma,21,CGY,C,0.11,0.04,0.07,0.96,26,3.8,48,54.2,-0.4,95.9,44,56,10:10,274,0:08,27,1,1,0,2,2,0,0.000,0.000,3
Gabriel Bourque,21,NSH,LW,0.44,0.16,0.28,1.37,59,11.9,94,62.8,1,99.6,55.6,44.4,12:47,550,0:04,43,7,7,0,12,12,0,0.000,0.000,19
T.J. Brodie,21,CGY,D,0.26,0.04,0.22,0.81,44,4.5,95,46.3,7.5,100.8,52.9,47.1,16:29,890,1:44,54,2,1,1,12,7,5,0.019,0.093,14
J.T. Brown,21,TBL,LW,0.20,0.00,0.20,2.60,13,0,24,54.2,7.3,105.7,44.7,55.3,13:51,69,1:39,5,0,0,0,1,1,0,0.000,0.000,1
Jordan Caron,21,BOS,RW,0.31,0.15,0.17,1.19,57,12.3,87,65.5,-8.4,100,57.7,42.3,11:32,553,0:23,48,7,7,0,8,8,0,0.000,0.000,15
Mat Clark,21,ANA,D,0.00,0.00,0.00,1.00,2,0,3,66.7,-1.9,83.3,63.6,36.4,11:02,22,0:00,2,0,0,0,0,0,0,0.000,0.000,0
Kyle Clifford,21,LAK,LW,0.15,0.06,0.09,1.09,88,5.7,142,61.3,-4.1,98.1,49.7,50.3,9:24,762,0:11,81,5,5,0,7,7,0,0.000,0.000,12
Patrice Cormier,21,WPG,C,0.00,0.00,0.00,0.89,8,0,13,61.5,7.4,102.1,41.7,58.3,6:22,57,0:00,9,0,0,0,0,0,0,0.000,0.000,0
Philippe Cornet,21,EDM,LW,0.50,0.00,0.50,0.00,0,,0,,5.5,104.3,63.6,36.4,10:35,21,1:02,2,0,0,0,1,1,0,0.000,0.000,1
Jared Cowen,21,OTT,D,0.21,0.06,0.15,0.71,58,8.6,139,41.7,-3.1,98.7,55.7,44.3,18:54,1549,0:36,82,5,5,0,12,10,1,0.000,0.012,17
Michael Del Zotto,21,NYR,D,0.53,0.13,0.40,1.47,113,8.8,231,48.5,-1.4,102.8,52.2,47.8,22:26,1728,4:11,77,10,8,1,31,16,13,0.013,0.169,41
Brenden Dillon,21,DAL,D,0.00,0.00,0.00,6.00,6,0,6,100,4.1,100,40,60,19:59,20,2:07,1,0,0,0,0,0,0,0.000,0.000,0
Matt Donovan,21,NYI,D,0.00,0.00,0.00,2.00,6,0,10,60,3.7,83.9,45.8,54.2,18:34,56,1:07,3,0,0,0,0,0,0,0.000,0.000,0
Matt Duchene,21,COL,C,0.48,0.24,0.24,2.28,132,10.6,249,53,-0.2,97,57.5,42.5,16:17,945,2:24,58,14,9,5,14,10,4,0.086,0.069,28
Gabriel Dumont,21,MTL,C,0.00,0.00,0.00,0.33,1,0,1,100,21,75,75,25,8:34,26,0:00,3,0,0,0,0,0,0,0.000,0.000,0
Jordan Eberle,21,EDM,C,0.97,0.44,0.54,2.31,180,18.9,314,57.3,3.1,102.7,61.4,38.6,17:36,1373,3:00,78,34,24,10,42,32,10,0.128,0.128,76
Mattias Ekholm,21,NSH,D,0.00,0.00,0.00,0.50,1,0,4,25,21.7,90.9,50,50,12:25,25,0:33,2,0,0,0,0,0,0,0.000,0.000,0
Stefan Elliott,21,COL,D,0.33,0.10,0.23,2.15,84,4.8,172,48.8,2.7,99.7,65.4,34.6,17:09,669,2:20,39,4,4,0,9,7,2,0.000,0.051,13
Ryan Ellis,21,NSH,D,0.34,0.09,0.25,1.06,34,8.8,77,44.2,2.8,102.3,60.3,39.7,14:50,474,1:44,32,3,1,2,8,6,2,0.063,0.063,11
Nikita Filatov,21,OTT,LW,0.11,0.00,0.11,0.67,6,0,15,40,-4.4,101.4,52.6,47.4,9:49,88,1:05,9,0,0,0,1,1,0,0.000,0.000,1
Kris Foucault,21,MIN,LW,0.00,0.00,0.00,0.00,0,,,,1.2,100,33.3,66.7,8:50,9,0:25,1,0,0,0,0,0,0,0.000,0.000,0
Matt Fraser,21,DAL,LW,0.00,0.00,0.00,1.00,1,0,1,100,-15.7,100,,,3:57,4,0:00,1,0,0,0,0,0,0,0.000,0.000,0
Jake Gardiner,21,TOR,D,0.40,0.09,0.31,1.05,79,8.9,207,38.2,0.4,101.6,55.6,44.4,21:35,1619,1:58,75,7,6,1,23,17,6,0.013,0.080,30
Evgeny Grachev,21,STL,C,0.15,0.04,0.12,0.54,14,7.1,23,60.9,-11.2,97,62.6,37.4,9:20,243,0:06,26,1,1,0,3,3,0,0.000,0.000,4
Travis Hamonic,21,NYI,D,0.33,0.03,0.30,1.70,124,1.6,294,42.2,0.4,100.4,48.5,51.5,22:26,1637,1:03,73,2,1,1,22,17,5,0.014,0.068,24
Teemu Hartikainen,21,EDM,LW,0.29,0.12,0.18,1.41,24,8.3,36,66.7,-1.5,102.6,55.8,44.2,13:01,221,0:01,17,2,2,0,3,3,0,0.000,0.000,5
Victor Hedman,21,TBL,D,0.38,0.08,0.30,1.34,82,6.1,192,42.7,0.5,99,37.9,62.1,23:06,1409,1:08,61,5,5,0,18,13,4,0.000,0.066,23
Adam Henrique,21,NJD,C,0.69,0.22,0.47,1.76,130,12.3,189,68.8,-0.6,100,47.9,52.1,18:10,1344,1:38,74,16,12,0,35,24,8,0.000,0.108,51
Cody Hodgson,21,TOT,C,0.49,0.23,0.27,1.86,154,12.3,259,59.5,-4.8,101.9,52.7,47.3,13:49,1147,1:57,83,19,12,7,22,15,7,0.084,0.084,41
Peter Holland,21,ANA,C,0.25,0.25,0.00,0.25,1,100,3,33.3,-29.8,111.5,40,60,7:42,31,0:12,4,1,1,0,0,0,0,0.000,0.000,1
Marcus Johansson,21,WSH,C,0.58,0.18,0.40,1.13,90,15.6,177,50.8,-2.9,101.2,52,48,16:48,1344,2:17,80,14,13,1,32,25,7,0.013,0.088,46
Roman Josi,21,NSH,D,0.31,0.10,0.21,1.23,64,7.8,131,48.9,-5.9,102,43.3,56.7,18:23,956,1:20,52,5,4,1,11,8,3,0.019,0.058,16
Nazem Kadri,21,TOR,C,0.33,0.24,0.10,1.33,28,17.9,58,48.3,6.2,103,49.3,50.7,14:10,297,1:36,21,5,4,1,2,2,0,0.048,0.000,7
Erik Karlsson,21,OTT,D,0.96,0.23,0.73,3.22,261,7.3,499,52.3,2.8,100.9,57,43,25:19,2051,3:53,81,19,16,3,59,34,25,0.037,0.309,78
Zack Kassian,21,TOT,RW,0.23,0.09,0.14,1.23,54,7.4,99,54.5,0.1,99.9,52.8,47.2,11:18,497,0:32,44,4,4,0,6,5,1,0.000,0.023,10
Carl Klingberg,21,WPG,LW,0.00,0.00,0.00,1.17,7,0,10,70,23.2,90.9,77.8,22.2,5:30,33,0:00,6,0,0,0,0,0,0,0.000,0.000,0
Marcus Kruger,21,CHI,C,0.37,0.13,0.24,1.25,89,10.1,131,67.9,-0.1,101.1,44.4,55.6,15:24,1093,1:26,71,9,9,0,17,14,3,0.000,0.042,26
Tomas Kubalik,21,CBJ,RW,0.25,0.13,0.13,1.00,8,12.5,15,53.3,-9.1,94.8,46.4,53.6,13:18,106,1:32,8,1,1,0,1,1,0,0.000,0.000,2
Dmitry Kulikov,21,FLA,D,0.48,0.07,0.41,1.79,104,3.8,243,42.8,-2.7,100.5,45,55,21:51,1268,2:50,58,4,2,2,24,16,8,0.034,0.138,28
Louis Leblanc,21,MTL,C,0.24,0.12,0.12,1.38,58,8.6,97,59.8,-0.6,102.5,47.8,52.2,11:12,470,0:23,42,5,5,0,5,5,0,0.000,0.000,10
Andrei Loktionov,21,LAK,C,0.18,0.08,0.10,1.54,60,5,110,53.6,-1,97.3,60.5,39.5,12:32,489,0:43,39,3,2,1,4,4,0,0.026,0.000,7
Brandon Manning,21,PHI,D,0.00,0.00,0.00,1.50,6,0,7,85.7,17.3,101.7,60.7,39.3,13:44,55,0:00,4,0,0,0,0,0,0,0.000,0.000,0
Brandon McMillan,21,ANA,LW,0.16,0.00,0.16,1.04,26,0,35,74.3,-14.3,97.1,41.1,58.9,11:13,280,0:03,25,0,0,0,4,4,0,0.000,0.000,4
Brayden McNabb,21,BUF,D,0.32,0.04,0.28,0.92,23,4.3,52,44.2,1.7,100.2,50,50,17:50,446,0:28,25,1,0,1,7,7,0,0.040,0.000,8
John Moore,21,CBJ,D,0.10,0.03,0.07,0.96,64,3.1,138,46.4,-5.8,96.7,45.4,54.6,15:49,1060,0:03,67,2,2,0,5,4,0,0.000,0.000,7
Tyler Myers,21,BUF,D,0.42,0.15,0.27,1.53,84,9.5,190,44.2,-6.6,102.8,51.3,48.7,22:29,1237,2:25,55,8,5,3,15,11,4,0.055,0.073,23
Greg Nemisz,21,CGY,C,0.00,0.00,0.00,0.22,2,0,7,28.6,1.2,105.1,42.4,57.6,7:43,69,0:03,9,0,0,0,0,0,0,0.000,0.000,0
Aaron Ness,21,NYI,D,0.00,0.00,0.00,0.67,6,0,18,33.3,-5.4,103,52.1,47.9,16:56,152,0:03,9,0,0,0,0,0,0,0.000,0.000,0
Dylan Olsen,21,CHI,D,0.04,0.00,0.04,0.57,16,0,36,44.4,-5.5,97.8,60.6,39.4,13:02,365,0:01,28,0,0,0,1,1,0,0.000,0.000,1
Andre Petersson,21,OTT,RW,0.00,0.00,0.00,0.00,0,,0,,,,100,0,5:02,5,0:00,1,0,0,0,0,0,0,0.000,0.000,0
Dalton Prout,21,CBJ,D,0.00,0.00,0.00,0.40,2,0,4,50,-2.7,104.8,37.5,62.5,11:48,59,0:06,5,0,0,0,0,0,0,0.000,0.000,0
Zac Rinaldo,21,PHI,C,0.14,0.03,0.11,0.82,54,3.7,94,57.4,-6.9,100.1,47.8,52.2,7:29,494,0:03,66,2,2,0,7,7,0,0.000,0.000,9
Colby Robak,21,FLA,D,0.00,0.00,0.00,0.33,1,0,4,25,-11.8,108.3,70,30,12:34,38,0:23,3,0,0,0,0,0,0,0.000,0.000,0
David Rundblad,21,TOT,D,0.23,0.03,0.20,1.13,34,2.9,87,39.1,3.6,92.7,61.5,38.5,15:01,450,2:15,30,1,1,0,6,4,2,0.000,0.067,7
David Savard,21,CBJ,D,0.32,0.06,0.26,1.10,34,5.9,70,48.6,-1.6,100.4,51.9,48.1,16:34,514,2:18,31,2,1,1,8,5,3,0.032,0.097,10
Marco Scandella,21,MIN,D,0.19,0.05,0.14,1.22,77,3.9,176,43.8,-0.8,97.9,43.6,56.4,21:47,1372,1:46,63,3,2,1,9,4,5,0.016,0.079,12
Steven Stamkos,21,TBL,C,1.18,0.73,0.45,3.70,303,19.8,539,56.2,2.5,102.7,55,45,22:01,1806,3:48,82,60,48,12,37,24,13,0.146,0.159,97
Derek Stepan,21,NYR,C,0.62,0.21,0.41,2.06,169,10.1,291,58.1,-2.8,102.6,63.7,36.3,18:57,1554,3:06,82,17,13,4,34,22,12,0.049,0.146,51
Michael Stone,21,PHX,D,0.23,0.08,0.15,1.00,13,7.7,25,52,-5.8,107.8,53.9,46.1,13:53,180,0:12,13,1,1,0,2,2,0,0.000,0.000,3
John Tavares,21,NYI,C,0.99,0.38,0.61,3.49,286,10.8,464,61.6,4.6,97.9,58.6,41.4,20:34,1687,3:10,82,31,24,7,50,32,18,0.085,0.220,81
Mattias Tedenby,21,NJD,LW,0.14,0.02,0.12,1.07,46,2.2,72,63.9,-2.5,93.1,50,50,10:45,462,0:17,43,1,1,0,5,5,0,0.000,0.000,6
Colten Teubert,21,EDM,D,0.04,0.00,0.04,0.54,13,0,33,39.4,-6.2,98.5,47.3,52.7,12:39,303,0:00,24,0,0,0,1,1,0,0.000,0.000,1
Alexander Urbom,21,NJD,D,0.20,0.20,0.00,0.60,3,33.3,5,60,-3.4,105.6,52.6,47.4,13:36,68,0:01,5,1,1,0,0,0,0,0.000,0.000,1
Tomas Vincour,21,DAL,C,0.21,0.09,0.13,1.38,65,6.2,123,52.8,3,98.1,49.7,50.3,10:20,485,0:22,47,4,4,0,6,6,0,0.000,0.000,10
Eric Wellwood,21,PHI,LW,0.38,0.21,0.17,1.50,36,13.9,60,60,-0.3,109.3,45,55,10:57,263,0:04,24,5,5,0,4,3,0,0.000,0.000,9
Akim Aliu,22,CGY,RW,1.50,1.00,0.50,1.50,3,66.7,4,75,0.4,127.3,36.4,63.6,11:02,22,0:21,2,2,2,0,1,1,0,0.000,0.000,3
Cody Almond,22,MIN,C,0.10,0.10,0.00,0.70,7,14.3,13,53.8,-7.3,91.8,48,52,10:13,102,0:04,10,1,1,0,0,0,0,0.000,0.000,1
Joakim Andersson,22,DET,C,0.00,0.00,0.00,0.60,3,0,3,100,3.3,107.1,73.3,26.7,6:40,33,0:00,5,0,0,0,0,0,0,0.000,0.000,0
Cam Atkinson,22,CBJ,RW,0.52,0.26,0.26,2.44,66,10.6,108,61.1,2.1,99.9,47.2,52.8,15:23,415,2:46,27,7,6,1,7,6,1,0.037,0.037,14
Keith Aulie,22,TOT,D,0.08,0.00,0.08,0.50,18,0,39,46.2,-4.5,99,44.7,55.3,13:26,484,0:00,36,0,0,0,3,3,0,0.000,0.000,3
Mikael Backlund,22,CGY,C,0.27,0.10,0.17,2.07,85,4.7,139,61.2,3.1,94.9,43.6,56.4,15:23,631,1:08,41,4,2,2,7,6,1,0.049,0.024,11
Josh Bailey,22,NYI,C,0.40,0.16,0.24,1.30,104,12.5,177,58.8,-3.7,99.5,45.8,54.2,15:13,1218,1:12,80,13,9,1,19,16,3,0.013,0.038,32
Jamie Benn,22,DAL,LW,0.89,0.37,0.52,2.86,203,12.8,366,55.5,1.3,101.4,49.2,50.8,18:04,1283,2:17,71,26,23,2,37,29,8,0.028,0.113,63
Mikkel Boedker,22,PHX,LW,0.29,0.13,0.16,1.05,86,12.8,174,49.4,-3.9,100.6,53.8,46.2,13:38,1118,1:03,82,11,11,0,13,12,1,0.000,0.012,24
Mark Borowiecki,22,OTT,D,0.00,0.00,0.00,0.50,1,0,2,50,,91.7,45.5,54.5,12:30,25,0:16,2,0,0,0,0,0,0,0.000,0.000,0
Robert Bortuzzo,22,PIT,D,0.00,0.00,0.00,0.50,3,0,7,42.9,-6.2,101.8,63.6,36.4,10:54,65,0:00,6,0,0,0,0,0,0,0.000,0.000,0
Marc-Andre Bourdon,22,PHI,D,0.16,0.09,0.07,1.00,45,8.9,104,43.3,-2.8,100.7,49.5,50.5,16:11,729,0:19,45,4,4,0,3,3,0,0.000,0.000,7
Drayson Bowman,22,CAR,C,0.35,0.16,0.19,1.89,70,8.6,124,56.5,3.6,100.5,53.3,46.7,13:21,494,0:53,37,6,6,0,7,6,1,0.000,0.027,13
Zach Boychuk,22,CAR,C,0.13,0.00,0.13,0.63,10,0,20,50,3.2,94.8,57,43,8:55,143,0:48,16,0,0,0,2,2,0,0.000,0.000,2
T.J. Brennan,22,BUF,D,0.09,0.09,0.00,1.27,14,7.1,36,38.9,2.5,101.5,59.2,40.8,14:07,155,0:41,11,1,1,0,0,0,0,0.000,0.000,1
Paul Byron,22,CGY,C,0.23,0.14,0.09,0.59,13,23.1,20,60,-2.2,104.3,51.9,48.1,10:14,225,0:09,22,3,3,0,2,2,0,0.000,0.000,5
Matt Calvert,22,CBJ,LW,0.23,0.00,0.23,0.31,4,0,12,33.3,3.4,90.9,50,50,9:08,119,0:04,13,0,0,0,3,3,0,0.000,0.000,3
John Carlson,22,WSH,D,0.39,0.11,0.28,1.85,152,5.9,303,50.2,-2,98.8,44.5,55.5,21:52,1792,1:25,82,9,5,4,23,19,3,0.049,0.037,32
Joe Colborne,22,TOR,C,0.50,0.10,0.40,0.70,7,14.3,8,87.5,-6.5,106.9,44.2,55.8,13:41,137,0:38,10,1,1,0,4,4,0,0.000,0.000,5
Ian Cole,22,STL,D,0.23,0.04,0.19,0.69,18,5.6,53,34,-3.2,103.6,55.7,44.3,15:55,414,0:18,26,1,1,0,5,5,0,0.000,0.000,6
Mike Connolly,22,COL,LW,0.00,0.00,0.00,0.50,1,0,1,100,,100,84.6,15.4,12:21,25,0:00,2,0,0,0,0,0,0,0.000,0.000,0
Logan Couture,22,SJS,C,0.81,0.39,0.43,3.06,245,12.7,426,57.5,2.6,98.6,55.9,44.1,18:34,1485,2:42,80,31,18,11,34,19,15,0.138,0.188,65
Tyler Cuma,22,MIN,D,0.00,0.00,0.00,0.00,0,,2,0,23.2,100,75,25,11:09,11,0:00,1,0,0,0,0,0,0,0.000,0.000,0
Stephane Da Costa,22,OTT,RW,0.23,0.14,0.09,1.41,31,9.7,63,49.2,-1,88.7,68.7,31.3,12:10,268,1:35,22,3,3,0,2,2,0,0.000,0.000,5
Evgeni Dadonov,22,FLA,RW,0.20,0.13,0.07,1.40,21,9.5,29,72.4,7.1,95.2,67.7,32.3,10:03,151,0:18,15,2,2,0,1,1,0,0.000,0.000,3
Zac Dalpe,22,CAR,C,0.19,0.06,0.13,1.25,20,5,36,55.6,-4.6,98.9,63.5,36.5,9:35,153,0:56,16,1,1,0,2,2,0,0.000,0.000,3
Drew Doughty,22,LAK,D,0.47,0.13,0.34,2.18,168,6,354,47.5,-0.1,98.5,50.1,49.9,24:54,1917,3:41,77,10,7,3,26,16,10,0.039,0.130,36
Lars Eller,22,MTL,C,0.35,0.20,0.15,1.63,129,12.4,259,49.4,-1.3,99,48.3,51.7,15:19,1210,0:39,79,16,12,2,12,10,1,0.025,0.013,28
Tyler Ennis,22,BUF,C,0.71,0.31,0.40,1.71,82,18.3,155,52.9,-2.5,105.4,57.4,42.6,16:10,776,1:56,48,15,13,2,19,17,2,0.042,0.042,34
Sam Gagner,22,EDM,C,0.63,0.24,0.39,1.99,149,12.1,292,51,2.6,102.1,54.2,45.8,17:11,1289,2:27,75,18,12,6,29,23,6,0.080,0.080,47
Colton Gillies,22,TOT,C,0.11,0.03,0.08,0.64,48,4.2,95,50.5,-8.4,99.7,39.7,60.3,10:05,757,0:03,75,2,2,0,6,6,0,0.000,0.000,8
