,,,,Per Game,Per Game,Per Game,Per Game,,,,,Corsi (EV),PDO (EV),Zone Starts (EV),Zone Starts (EV),Ice Time,Even Strength,Power Play,Scoring,Scoring,Goals,Goals,Scoring,Assists,Assists,Power Play,Power Play,Scoring
Mark Scheifele,19,WPG,C,0.00,0.00,0.00,1.50,6,0,12,50,-8.4,102.4,37.5,62.5,11:32,10:50,0:40,4,0,0,0,0,0,0,0.000,0.000,0
Nail Yakupov,19,EDM,RW,0.65,0.35,0.29,1.69,81,21,162,50,-5.3,101.9,52,48,14:34,12:04,2:28,48,17,11,6,14,10,4,0.125,0.083,31
Mika Zibanejad,19,OTT,C,0.48,0.17,0.31,2.14,90,7.8,153,58.8,1.1,102.4,66.9,33.1,13:34,11:37,1:55,42,7,4,3,13,12,1,0.071,0.024,20
Sven Baertschi,20,CGY,LW,0.50,0.15,0.35,1.40,28,10.7,44,63.6,-1.2,100.6,47.1,52.9,13:24,11:42,1:31,20,3,3,0,7,7,0,0.000,0.000,10
Nathan Beaulieu,20,MTL,D,0.33,0.00,0.33,1.33,8,0,19,42.1,2.6,107.5,52.3,47.7,15:22,13:04,2:17,6,0,0,0,2,2,0,0.000,0.000,2
Nick Bjugstad,20,FLA,C,0.09,0.09,0.00,1.55,17,5.9,23,73.9,-4.1,91.7,56,44,15:13,14:08,0:59,11,1,1,0,0,0,0,0.000,0.000,1
Brett Connolly,20,TBL,RW,0.20,0.20,0.00,2.00,10,10,19,52.6,5.6,89.7,37.5,62.5,10:16,8:26,1:50,5,1,0,1,0,0,0,0.200,0.000,1
Sean Couturier,20,PHI,C,0.33,0.09,0.24,1.63,75,5.3,122,61.5,1,96.2,32.8,67.2,15:53,11:52,1:29,46,4,4,0,11,7,4,0.000,0.087,15
Charlie Coyle,20,MIN,C,0.38,0.22,0.16,1.35,50,16,88,56.8,4.8,98.6,64.7,35.3,15:04,13:53,0:46,37,8,7,1,6,6,0,0.027,0.000,14
Emerson Etem,20,ANA,RW,0.26,0.08,0.18,1.26,48,6.3,89,53.9,-1.8,103.3,56.7,43.3,11:28,10:16,0:08,38,3,3,0,7,5,0,0.000,0.000,10
Justin Faulk,20,CAR,D,0.39,0.13,0.26,2.00,76,6.6,138,55.1,-2.3,101.2,45.8,54.2,24:00,18:22,2:38,38,5,3,1,10,8,2,0.026,0.053,15
Brendan Gallagher,20,MTL,RW,0.64,0.34,0.30,2.66,117,12.8,207,56.5,4.3,98.6,67.3,32.7,13:52,11:29,2:21,44,15,12,3,13,12,1,0.068,0.023,28
Mikael Granlund,20,MIN,C,0.30,0.07,0.22,1.33,36,5.6,58,62.1,-10.7,99,56.3,43.8,13:11,11:26,1:43,27,2,2,0,6,4,2,0.000,0.074,8
Ryan Johansen,20,CBJ,C,0.30,0.13,0.18,2.10,84,6,118,71.2,-1.1,99.5,50.2,49.8,16:05,13:40,2:19,40,5,5,0,7,6,1,0.000,0.025,12
Gabriel Landeskog,20,COL,LW,0.47,0.25,0.22,3.03,109,8.3,179,60.9,4.1,97.3,48.3,51.7,19:20,14:59,2:28,36,9,6,0,8,6,2,0.000,0.056,17
Adam Larsson,20,NJD,D,0.16,0.00,0.16,0.81,30,0,68,44.1,-6.9,100,49.4,50.6,18:06,16:47,0:09,37,0,0,0,6,6,0,0.000,0.000,6
Johan Larsson,20,MIN,LW,0.00,0.00,0.00,2.00,2,0,2,100,-8.6,100,28.6,71.4,14:02,13:54,0:08,1,0,0,0,0,0,0,0.000,0.000,0
Jamie Oleksiak,20,DAL,D,0.13,0.00,0.13,0.69,11,0,34,32.4,-1.5,95.3,60.5,39.5,14:50,13:56,0:00,16,0,0,0,2,2,0,0.000,0.000,2
Jean-Gabriel Pageau,20,OTT,C,0.44,0.22,0.22,1.56,14,14.3,24,58.3,-1.7,102.8,49.1,50.9,11:30,10:34,0:05,9,2,2,0,2,2,0,0.000,0.000,4
Alexander Petrovic,20,FLA,D,0.00,0.00,0.00,0.83,5,0,16,31.3,-0.1,86.1,71.9,28.1,18:47,17:48,0:17,6,0,0,0,0,0,0,0.000,0.000,0
Max Reinhart,20,CGY,C,0.27,0.09,0.18,2.36,26,3.8,35,74.3,0.6,97.5,39.5,60.5,14:25,12:35,0:47,11,1,1,0,2,1,1,0.000,0.091,3
Brandon Saad,20,CHI,LW,0.59,0.22,0.37,2.13,98,10.2,163,60.1,1.5,102.7,57.1,42.9,16:28,14:04,1:31,46,10,9,0,17,14,3,0.000,0.065,27
Jaden Schwartz,20,STL,C,0.29,0.16,0.13,1.11,50,14,84,59.5,0.1,97.5,51.6,48.4,12:28,12:00,0:16,45,7,7,0,6,6,0,0.000,0.000,13
Michael Sgarbossa,20,COL,C,0.00,0.00,0.00,1.00,6,0,11,54.5,-5.2,83.3,33.3,66.7,10:22,8:24,1:57,6,0,0,0,0,0,0,0.000,0.000,0
Jeff Skinner,20,CAR,RW,0.57,0.31,0.26,3.79,159,8.2,284,56,1.8,94.1,51.1,48.9,18:28,15:34,2:47,42,13,8,5,11,7,4,0.119,0.095,24
Devante Smith-Pelly,20,ANA,RW,0.00,0.00,0.00,0.71,5,0,5,100,-16.7,89,48.5,51.5,9:00,8:47,0:00,7,0,0,0,0,0,0,0.000,0.000,0
Mark Stone,20,OTT,RW,0.00,0.00,0.00,0.75,3,0,6,50,8.9,93.9,60,40,10:00,9:36,0:24,4,0,0,0,0,0,0,0.000,0.000,0
Christian Thomas,20,NYR,RW,0.00,0.00,0.00,2.00,2,0,2,100,,100,83.3,16.7,12:46,11:11,1:35,1,0,0,0,0,0,0,0.000,0.000,0
Jarred Tinordi,20,MTL,D,0.25,0.00,0.25,0.63,5,0,13,38.5,-10.6,105.8,66.7,33.3,11:43,10:48,0:00,8,0,0,0,2,2,0,0.000,0.000,2
Tyler Toffoli,20,LAK,C,0.50,0.20,0.30,2.00,20,10,38,52.6,2.8,106.5,58,42,11:59,10:25,1:33,10,2,1,1,3,2,1,0.100,0.100,5
Tyson Barrie,21,COL,D,0.41,0.06,0.34,1.81,58,3.4,143,40.6,0.6,97.2,50.1,49.9,21:35,17:45,2:38,32,2,1,1,11,7,4,0.031,0.125,13
Taylor Beck,21,NSH,LW,0.44,0.19,0.25,2.44,39,7.7,64,60.9,1.3,100.3,50.4,49.6,16:06,14:10,1:55,16,3,2,1,4,3,1,0.063,0.063,7
Beau Bennett,21,PIT,RW,0.54,0.12,0.42,1.15,30,10,54,55.6,-1.9,106.8,58.8,41.2,12:18,10:38,1:39,26,3,2,1,11,7,4,0.038,0.154,14
Chris Brown,21,PHX,C,0.00,0.00,0.00,1.20,6,0,10,60,-7.7,100,42.9,57.1,7:38,6:03,1:34,5,0,0,0,0,0,0,0.000,0.000,0
Alexander Burmistrov,21,WPG,C,0.23,0.09,0.14,1.25,55,7.3,113,48.7,0.9,100.2,52,48,15:38,13:13,0:53,44,4,4,0,6,6,0,0.000,0.000,10
Casey Cizikas,21,NYI,C,0.33,0.13,0.20,1.00,45,13.3,81,55.6,-4,99.4,44.9,55.1,10:47,10:02,0:01,45,6,6,0,9,8,1,0.000,0.022,15
Simon Despres,21,PIT,D,0.21,0.06,0.15,1.00,33,6.1,62,53.2,3.4,102.8,52.7,47.3,15:07,13:53,0:41,33,2,2,0,5,4,1,0.000,0.030,7
Cody Eakin,21,DAL,C,0.50,0.15,0.35,1.40,67,10.4,120,55.8,2.1,102.2,54.3,45.7,15:05,12:10,1:11,48,7,4,3,17,17,0,0.063,0.000,24
Oliver Ekman-Larsson,21,PHX,D,0.50,0.06,0.44,2.10,101,3,222,45.5,-1.6,101.4,45.3,54.7,25:06,18:24,3:40,48,3,3,0,21,13,8,0.000,0.167,24
Tim Erixon,21,CBJ,D,0.16,0.00,0.16,0.68,21,0,61,34.4,1.6,103,52.8,47.2,15:42,14:34,0:57,31,0,0,0,5,3,2,0.000,0.065,5
Marcus Foligno,21,BUF,LW,0.38,0.11,0.28,1.17,55,9.1,94,58.5,6.7,98.1,56.7,43.3,13:38,11:56,1:32,47,5,4,1,13,9,3,0.021,0.064,18
Cam Fowler,21,ANA,D,0.30,0.03,0.27,1.35,50,2,119,42,-1.7,100.3,52.6,47.4,20:26,17:25,2:30,37,1,0,1,10,5,5,0.027,0.135,11
Eric Gelinas,21,NJD,D,0.00,0.00,0.00,1.00,1,0,3,33.3,-5.9,80,80,20,15:59,15:05,0:54,1,0,0,0,0,0,0,0.000,0.000,0
Erik Gudbranson,21,FLA,D,0.13,0.00,0.13,1.53,49,0,94,52.1,-6.4,93.6,54.1,45.9,18:45,16:27,0:39,32,0,0,0,4,3,1,0.000,0.031,4
Taylor Hall,21,EDM,LW,1.11,0.36,0.76,3.42,154,10.4,257,59.5,8.4,100.4,55.2,44.8,18:37,15:19,3:14,45,16,12,4,34,24,10,0.089,0.222,50
Roman Horak,21,CGY,C,0.35,0.10,0.25,1.40,28,7.1,48,58.3,0.8,95.9,38.9,61.1,14:32,12:37,1:01,20,2,2,0,5,4,0,0.000,0.000,7
Quinton Howden,21,FLA,C,0.00,0.00,0.00,1.22,22,0,38,55.3,1.5,85.4,49.5,50.5,10:27,10:18,0:02,18,0,0,0,0,0,0,0.000,0.000,0
Jacob Josefson,21,NJD,C,0.14,0.05,0.09,0.91,20,5,41,48.8,-5.5,89.7,44.2,55.8,12:59,10:27,0:44,22,1,1,0,2,2,0,0.000,0.000,3
Evander Kane,21,WPG,C,0.69,0.35,0.33,3.96,190,8.9,350,54.3,-0.6,100.2,54.4,45.6,20:27,17:02,2:25,48,17,15,2,16,14,2,0.042,0.042,33
Matthew Konan,21,PHI,D,0.00,0.00,0.00,2.00,4,0,6,66.7,-8.8,100,42.9,57.1,15:56,15:27,0:00,2,0,0,0,0,0,0,0.000,0.000,0
Chris Kreider,21,NYR,C,0.13,0.09,0.04,0.83,19,10.5,33,57.6,-12.7,100.7,63.4,36.6,10:07,9:25,0:41,23,2,2,0,1,1,0,0.000,0.000,3
Torey Krug,21,BOS,D,1.00,0.00,1.00,0.00,0,,2,0,-5.8,81,75,25,15:47,10:58,3:14,1,0,0,0,1,0,1,0.000,1.000,1
Anton Lander,21,EDM,C,0.09,0.00,0.09,1.00,11,0,16,68.8,0.6,90.7,54.3,45.7,11:02,9:15,0:00,11,0,0,0,1,0,0,0.000,0.000,1
Nick Leddy,21,CHI,D,0.38,0.13,0.25,1.35,65,9.2,115,56.5,1.4,102.7,58.4,41.6,17:25,14:45,2:38,48,6,4,2,12,6,6,0.042,0.125,18
Jeremy Morin,21,CHI,LW,0.67,0.33,0.33,2.33,7,14.3,10,70,-4.3,101.5,55.6,44.4,13:01,12:27,0:34,3,1,1,0,1,1,0,0.000,0.000,2
Ryan O'Reilly,21,COL,C,0.69,0.21,0.48,2.28,66,9.1,118,55.9,7.7,96.4,50.3,49.7,18:30,15:01,2:34,29,6,3,3,14,11,3,0.103,0.103,20
Dmitry Orlov,21,WSH,D,0.20,0.00,0.20,0.20,1,0,8,12.5,-11.6,121.1,38.7,61.3,14:57,13:54,0:49,5,0,0,0,1,1,0,0.000,0.000,1
Magnus Paajarvi,21,EDM,LW,0.38,0.21,0.17,1.79,75,12,110,68.2,-2.4,101.1,51.5,48.5,14:08,12:18,1:24,42,9,6,2,7,7,0,0.048,0.000,16
Ondrej Palat,21,TBL,LW,0.29,0.14,0.14,1.14,16,12.5,26,61.5,-1.6,107.9,43.4,56.6,11:44,10:38,0:19,14,2,2,0,2,2,0,0.000,0.000,4
Kyle Palmieri,21,ANA,C,0.50,0.24,0.26,2.19,92,10.9,159,57.9,1.5,101.2,54.2,45.8,12:20,10:57,1:21,42,10,8,2,11,10,1,0.048,0.024,21
Richard Panik,21,TBL,RW,0.36,0.20,0.16,1.36,34,14.7,56,60.7,3.6,99.3,39.9,60.1,11:20,10:30,0:47,25,5,4,1,4,3,1,0.040,0.040,9
Brandon Pirri,21,CHI,C,0.00,0.00,0.00,2.00,2,0,3,66.7,,100,50,50,17:55,16:12,1:42,1,0,0,0,0,0,0,0.000,0.000,0
Mark Pysyk,21,BUF,D,0.26,0.05,0.21,1.11,21,4.8,41,51.2,-0.6,96.9,44.9,55.1,16:17,15:05,0:49,19,1,0,1,4,4,0,0.053,0.000,5
Brayden Schenn,21,PHI,C,0.55,0.17,0.38,1.68,79,10.1,146,54.1,1.5,98,53.2,46.8,15:32,13:04,2:24,47,8,6,2,18,10,8,0.043,0.170,26
Tyler Seguin,21,BOS,C,0.67,0.33,0.33,3.35,161,9.9,289,55.7,7.1,103.2,54.2,45.8,17:01,14:48,2:11,48,16,12,4,16,14,2,0.083,0.042,32
Andrew Shaw,21,CHI,C,0.31,0.19,0.13,1.33,64,14.1,111,57.7,-2.6,102.7,53,47,15:03,12:55,2:02,48,9,7,2,6,6,0,0.042,0.000,15
Riley Sheahan,21,DET,C,0.00,0.00,0.00,1.00,1,0,1,100,6,100,0,100,6:47,6:47,0:00,1,0,0,0,0,0,0,0.000,0.000,0
Reilly Smith,21,DAL,RW,0.24,0.08,0.16,0.92,34,8.8,65,52.3,6.3,100.3,57.4,42.6,10:55,9:29,1:01,37,3,3,0,6,6,0,0.000,0.000,9
Ryan Spooner,21,BOS,C,0.00,0.00,0.00,1.00,4,0,8,50,,100,50,50,9:07,7:29,1:37,4,0,0,0,0,0,0,0.000,0.000,0
Vladimir Tarasenko,21,STL,RW,0.50,0.21,0.29,1.97,75,10.7,135,55.6,7,98.4,66.8,33.2,13:25,11:36,1:47,38,8,5,3,11,9,2,0.079,0.053,19
Sami Vatanen,21,ANA,D,0.25,0.25,0.00,0.75,6,33.3,12,50,-1.4,106.2,58.1,41.9,15:49,13:10,2:35,8,2,1,1,0,0,0,0.125,0.000,2
Austin Watson,21,NSH,RW,0.17,0.17,0.00,0.67,4,25,12,33.3,-2.3,90.5,50,50,12:42,11:10,1:01,6,1,1,0,0,0,0,0.000,0.000,1
Jason Zucker,21,MIN,LW,0.25,0.20,0.05,1.70,34,11.8,58,58.6,-6.6,104,41.6,58.4,11:16,10:56,0:19,20,4,4,0,1,1,0,0.000,0.000,5
Luke Adam,22,BUF,LW,0.25,0.25,0.00,0.50,2,50,5,40,-14.1,114.6,25,75,9:48,9:25,0:22,4,1,1,0,0,0,0,0.000,0.000,1
Jason Akeson,22,PHI,C,1.00,1.00,0.00,2.00,2,50,3,66.7,,125,50,50,12:23,12:23,0:00,1,1,1,0,0,0,0,0.000,0.000,1
Mark Barberio,22,TBL,D,0.00,0.00,0.00,0.50,1,0,6,16.7,14.2,88.9,46.7,53.3,15:30,12:16,2:56,2,0,0,0,0,0,0,0.000,0.000,0
Zach Bogosian,22,WPG,D,0.42,0.15,0.27,2.58,85,5.9,172,49.4,-3.5,99.7,45.4,54.6,23:07,19:23,1:44,33,5,5,0,9,6,3,0.000,0.091,14
Gabriel Bourque,22,NSH,LW,0.47,0.32,0.15,1.47,50,22,90,55.6,0.7,103.5,46.2,53.8,15:50,13:54,1:03,34,11,7,3,5,5,0,0.088,0.000,16
T.J. Brodie,22,CGY,D,0.30,0.04,0.26,0.94,44,4.5,107,41.1,2.7,97.6,47.7,52.3,20:13,17:35,2:01,47,2,2,0,12,6,6,0.000,0.128,14
Jordan Caron,22,BOS,RW,0.18,0.06,0.12,1.18,20,5,32,62.5,-11.2,102.6,46.2,53.8,9:24,9:07,0:17,17,1,1,0,2,2,0,0.000,0.000,3
Alex Chiasson,22,DAL,RW,1.00,0.86,0.14,1.86,13,46.2,20,65,1,110.7,67.3,32.7,14:05,12:28,1:36,7,6,5,1,1,1,0,0.143,0.000,7
Kyle Clifford,22,LAK,LW,0.29,0.15,0.15,1.17,56,12.5,107,52.3,-2.1,100,59.3,40.7,10:36,9:52,0:16,48,7,7,0,7,7,0,0.000,0.000,14
Patrice Cormier,22,WPG,C,0.00,0.00,0.00,0.40,4,0,10,40,0.1,80,62.5,37.5,3:53,3:51,0:02,10,0,0,0,0,0,0,0.000,0.000,0
Jared Cowen,22,OTT,D,0.14,0.14,0.00,1.14,8,12.5,21,38.1,-2.6,100.6,61.3,38.7,20:17,16:55,1:25,7,1,1,0,0,0,0,0.000,0.000,1
Mark Cundari,22,CGY,D,0.75,0.25,0.50,2.00,8,12.5,17,47.1,,95.6,48.5,51.5,19:46,17:12,1:39,4,1,0,1,2,1,1,0.250,0.250,3
Danny DeKeyser,22,DET,D,0.09,0.00,0.09,1.36,15,0,27,55.6,-1.7,103.5,58.6,41.4,18:03,15:37,0:35,11,0,0,0,1,1,0,0.000,0.000,1
Michael Del Zotto,22,NYR,D,0.46,0.07,0.39,1.76,81,3.7,186,43.5,-4.7,102.1,58.7,41.3,23:10,18:41,2:54,46,3,2,0,18,10,8,0.000,0.174,21
Brenden Dillon,22,DAL,D,0.17,0.06,0.10,1.56,75,4,161,46.6,2.7,100.3,42.5,57.5,21:23,18:23,0:24,48,3,3,0,5,5,0,0.000,0.000,8
Matt Duchene,22,COL,C,0.91,0.36,0.55,2.81,132,12.9,214,61.7,0.2,97.1,53.5,46.5,20:55,15:52,2:49,47,17,15,2,26,18,7,0.043,0.149,43
Gabriel Dumont,22,MTL,C,0.30,0.10,0.20,2.00,20,5,29,69,-2.9,99.9,50,50,9:41,9:20,0:04,10,1,1,0,2,2,0,0.000,0.000,3
Jordan Eberle,22,EDM,C,0.77,0.33,0.44,2.77,133,12,204,65.2,7.7,98.2,49.5,50.5,19:00,15:36,3:11,48,16,13,3,21,15,6,0.063,0.125,37
Mattias Ekholm,22,NSH,D,0.00,0.00,0.00,0.00,0,,1,0,7.5,66.7,60,40,16:05,15:02,1:03,1,0,0,0,0,0,0,0.000,0.000,0
Stefan Elliott,22,COL,D,0.22,0.06,0.17,1.94,35,2.9,78,44.9,3.6,96.5,58,42,17:30,15:40,1:35,18,1,1,0,3,2,1,0.000,0.056,4
Ryan Ellis,22,NSH,D,0.19,0.06,0.13,1.50,48,4.2,82,58.5,6.9,98.5,50.8,49.2,16:23,14:20,1:58,32,2,0,2,4,4,0,0.063,0.000,6
Matt Fraser,22,DAL,LW,0.25,0.08,0.17,1.42,17,5.9,31,54.8,13.7,100.6,54.7,45.3,11:48,11:01,0:45,12,1,1,0,2,2,0,0.000,0.000,3
Jake Gardiner,22,TOR,D,0.33,0.00,0.33,1.00,12,0,35,34.3,13.8,101.2,48,52,20:29,17:48,2:27,12,0,0,0,4,2,2,0.000,0.167,4
Derek Grant,22,OTT,C,0.00,0.00,0.00,1.00,5,0,10,50,-9,93.8,41.7,58.3,8:40,7:05,0:00,5,0,0,0,0,0,0,0.000,0.000,0
Radko Gudas,22,TBL,D,0.23,0.09,0.14,1.41,31,6.5,62,50,9.3,100.7,54.4,45.6,17:00,15:59,0:10,22,2,2,0,3,3,0,0.000,0.000,5
Travis Hamonic,22,NYI,D,0.21,0.06,0.15,1.73,83,3.6,189,43.9,-4.9,97.4,45.5,54.5,22:48,18:49,1:14,48,3,2,1,7,4,2,0.021,0.042,10
Ben Hanowski,22,CGY,LW,0.20,0.20,0.00,0.80,4,25,9,44.4,-7.2,106.9,37.2,62.8,13:18,12:59,0:09,5,1,1,0,0,0,0,0.000,0.000,1
Teemu Hartikainen,22,EDM,LW,0.13,0.04,0.09,0.91,21,4.8,48,43.8,-1.5,92.3,41.5,58.5,10:34,8:32,2:01,23,1,0,1,2,0,2,0.043,0.087,3
Victor Hedman,22,TBL,D,0.45,0.09,0.36,1.73,76,5.3,156,48.7,1.7,100.7,42.5,57.5,22:40,18:19,1:44,44,4,4,0,16,14,2,0.000,0.045,20
Adam Henrique,22,NJD,C,0.38,0.26,0.12,1.86,78,14.1,140,55.7,0.2,96.8,48.4,51.6,18:19,13:54,2:39,42,11,6,3,5,3,1,0.071,0.024,16
Cody Hodgson,22,BUF,C,0.71,0.31,0.40,2.38,114,13.2,193,59.1,0.3,99.9,47.4,52.6,18:24,14:29,2:36,48,15,11,3,19,16,2,0.063,0.042,34
Peter Holland,22,ANA,C,0.24,0.14,0.10,1.24,26,11.5,50,52,0,106,54.3,45.7,11:35,10:51,0:42,21,3,2,1,2,2,0,0.048,0.000,5
Marcus Johansson,22,WSH,C,0.65,0.18,0.47,1.18,40,15,68,58.8,-1.6,102,53,47,16:35,13:58,1:39,34,6,3,3,16,14,1,0.088,0.029,22
Tyler Johnson,22,TBL,C,0.43,0.21,0.21,0.79,11,27.3,28,39.3,5.6,104.6,42.5,57.5,13:04,10:43,1:40,14,3,3,0,3,3,0,0.000,0.000,6
Michal Jordan,22,CAR,D,0.00,0.00,0.00,0.40,2,0,7,28.6,0.6,91.7,69.2,30.8,10:41,10:40,0:00,5,0,0,0,0,0,0,0.000,0.000,0
Roman Josi,22,NSH,D,0.38,0.10,0.27,2.00,96,5.2,182,52.7,-1.4,99.2,44.1,55.9,23:32,19:45,2:53,48,5,4,1,13,7,6,0.021,0.125,18
Nazem Kadri,22,TOR,C,0.92,0.38,0.54,2.23,107,16.8,206,51.9,3.3,107.1,48,52,16:03,13:39,2:12,48,18,13,5,26,23,3,0.104,0.063,44
Erik Karlsson,22,OTT,D,0.82,0.35,0.47,4.65,79,7.6,182,43.4,7.1,101.8,58.9,41.1,27:09,20:52,4:30,17,6,3,2,8,6,2,0.118,0.118,14
Zack Kassian,22,VAN,RW,0.28,0.18,0.10,1.26,49,14.3,102,48,-6,99.1,45.2,54.8,13:29,12:00,1:28,39,7,5,2,4,3,1,0.051,0.026,11
Marcus Kruger,22,CHI,C,0.28,0.09,0.19,1.06,50,8,74,67.6,0.6,99.8,38.4,61.6,14:10,11:22,0:16,47,4,4,0,9,7,2,0.000,0.043,13
Dmitry Kulikov,22,FLA,D,0.29,0.09,0.21,1.53,52,5.8,112,46.4,0.6,99.1,58,42,20:59,17:21,2:24,34,3,1,2,7,3,4,0.059,0.118,10
Shawn Lalonde,22,CHI,D,0.00,0.00,0.00,0.00,0,,1,0,,116.7,53.3,46.7,14:47,14:19,0:28,1,0,0,0,0,0,0,0.000,0.000,0
Brian Lashoff,22,DET,D,0.16,0.03,0.13,0.84,26,3.8,49,53.1,-7.2,96.8,55,45,17:47,15:15,0:11,31,1,1,0,4,4,0,0.000,0.000,5
Anders Lee,22,NYI,C,1.00,0.50,0.50,1.00,2,50,4,50,-5.6,83.3,50,50,8:12,8:12,0:00,2,1,1,0,1,1,0,0.000,0.000,2
Andrei Loktionov,22,NJD,C,0.43,0.29,0.14,1.68,47,17,76,61.8,2.8,96.4,58.7,41.3,14:15,12:44,1:27,28,8,7,1,4,2,2,0.036,0.071,12
Brandon Manning,22,PHI,D,0.33,0.00,0.33,0.83,5,0,9,55.6,-2.4,110.1,40,60,14:48,14:44,0:00,6,0,0,0,2,2,0,0.000,0.000,2
Jon Marchessault,22,CBJ,C,0.00,0.00,0.00,0.00,0,,2,0,-6.8,91.7,25,75,10:57,10:03,0:53,2,0,0,0,0,0,0,0.000,0.000,0
Tye McGinn,22,PHI,LW,0.28,0.17,0.11,1.83,33,9.1,51,64.7,6.4,97.6,50.4,49.6,12:43,11:01,1:40,18,3,3,0,2,2,0,0.000,0.000,5
Brandon McMillan,22,ANA,LW,0.17,0.00,0.17,0.33,2,0,6,33.3,1.1,98.4,50,50,8:45,7:53,0:00,6,0,0,0,1,1,0,0.000,0.000,1
John Moore,22,TOT,D,0.23,0.03,0.20,0.97,29,3.4,67,43.3,4.5,102.7,51.1,48.9,13:20,12:36,0:21,30,1,1,0,6,6,0,0.000,0.000,7
Tyler Myers,22,BUF,D,0.21,0.08,0.13,1.23,48,6.3,102,47.1,-0.7,98.6,50.9,49.1,21:19,16:51,2:12,39,3,2,1,5,3,2,0.026,0.051,8
Greg Pateryn,22,MTL,D,0.00,0.00,0.00,0.00,0,,2,0,-7.3,100,66.7,33.3,9:36,9:31,0:04,3,0,0,0,0,0,0,0.000,0.000,0
Dalton Prout,22,CBJ,D,0.25,0.04,0.21,0.57,16,6.3,49,32.7,-5.3,107.3,44.6,55.4,18:32,17:32,0:02,28,1,1,0,6,5,1,0.000,0.036,7
Joonas Rask,22,NSH,C,0.50,0.00,0.50,0.00,0,,0,,,171.4,16.7,83.3,8:01,8:00,0:00,2,0,0,0,1,1,0,0.000,0.000,1
Zac Rinaldo,22,PHI,C,0.16,0.09,0.06,0.47,15,20,25,60,-9.2,95,39.7,60.3,8:23,8:18,0:02,32,3,3,0,2,2,0,0.000,0.000,5
