,,,,Per Game,Per Game,Per Game,Per Game,,,,,Corsi (EV),PDO (EV),Zone Starts (EV),Zone Starts (EV),Ice Time,Even Strength,Power Play,Scoring,Scoring,Goals,Goals,Scoring,Assists,Assists,Power Play,Power Play,Scoring
Curtis Lazar,19,OTT,C,0.22,0.09,0.13,1.37,92,6.5,165,55.8,0.6,100.4,48.4,51.6,12:54,18:38,4:08,67,6,6,0,9,9,0,0,0,15
Nathan MacKinnon,19,COL,C,0.59,0.22,0.38,3,192,7.3,323,59.4,7.5,98.4,49.1,50.9,17:03,11:59,0:07,64,14,11,3,24,20,4,0.047,0.063,38
Mirco Mueller,19,SJS,D,0.1,0.03,0.08,0.79,31,3.2,69,44.9,-2,96.9,48.7,51.3,16:58,7:09,0:01,39,1,1,0,3,3,0,0,0,4
Valeri Nichushkin,19,DAL,RW,0.13,0,0.13,0.75,6,0,19,31.6,-3.7,90.7,58.8,41.2,13:46,13:17,0:57,8,0,0,0,1,1,0,0,0,1
Darnell Nurse,19,EDM,D,0,0,0,1,2,0,4,50,4.1,82.4,80,20,17:00,18:15,1:44,2,0,0,0,0,0,0,0,0,0
Sam Reinhart,19,BUF,C,0.11,0,0.11,0.33,3,0,6,50,0.9,100.1,38,62,10:22,6:46,0:00,9,0,0,0,1,1,0,0,0,1
Nikita Zadorov,19,BUF,D,0.25,0.05,0.2,0.87,52,5.8,104,50,1.6,101.7,48.2,51.8,17:42,15:29,3:17,60,3,1,2,12,9,3,0.033,0.05,15
Josh Anderson,20,CBJ,RW,0.17,0,0.17,1.67,10,0,19,52.6,2.2,97.6,46.5,53.5,13:27,16:23,1:56,6,0,0,0,1,1,0,0,0,1
Andrew Copp,20,WPG,C,1,0,1,4,4,0,8,100,8.6,125,40,60,13:16,8:49,0:00,1,0,0,0,1,1,0,0,0,1
Marko Dano,20,CBJ,C,0.6,0.23,0.37,2.4,84,9.5,129,65.1,6.5,103.8,44.4,55.6,13:15,13:41,2:58,35,8,8,0,13,13,0,0,0,21
Mathew Dumba,20,MIN,D,0.28,0.14,0.14,1.48,86,9.3,188,45.7,2.2,102.3,59.1,40.9,15:01,7:09,0:02,58,8,6,2,8,4,4,0.034,0.069,16
Filip Forsberg,20,NSH,C,0.77,0.32,0.45,2.89,237,11,471,50.3,6.6,100.1,69.9,30.1,17:20,13:55,2:40,82,26,20,6,37,24,13,0.073,0.159,63
Alex Galchenyuk,20,MTL,C,0.58,0.25,0.33,2.04,163,12.3,300,54.3,3.5,101.4,57.3,42.7,16:26,22:53,3:26,80,20,17,3,26,17,9,0.038,0.113,46
Mikhail Grigorenko,20,BUF,C,0.24,0.12,0.12,1.4,35,8.6,57,61.4,0.6,97.3,39.7,60.3,15:10,12:02,0:05,25,3,2,1,3,2,1,0.04,0.04,6
Ryan Hartman,20,CHI,RW,0,0,0,1.6,8,0,11,72.7,1.5,92.9,57.7,42.3,8:17,15:17,3:15,5,0,0,0,0,0,0,0,0,0
Seth Jones,20,NSH,D,0.33,0.1,0.23,1.5,123,6.5,264,46.6,2.3,99.8,55.2,44.8,19:53,9:08,0:58,82,8,5,2,19,10,9,0.024,0.11,27
Slater Koekkoek,20,TBL,D,0,0,0,2,6,0,8,75,,100.7,48.1,51.9,16:35,11:11,0:01,3,0,0,0,0,0,0,0,0,0
Scott Laughton,20,PHI,C,0.19,0.06,0.13,1.65,51,3.9,89,57.3,-3.6,100.7,50.3,49.7,12:43,13:34,0:02,31,2,2,0,4,3,1,0,0.032,6
Elias Lindholm,20,CAR,C,0.48,0.21,0.27,2.1,170,10,302,56.3,3.1,94.9,58.1,41.9,16:25,12:13,0:08,81,17,13,4,22,11,11,0.049,0.136,39
Olli Maatta,20,PIT,D,0.45,0.05,0.4,1.35,27,3.7,56,48.2,3.3,100,51.9,48.1,20:43,11:58,0:00,20,1,1,0,8,6,2,0,0.1,9
Stefan Matteau,20,NJD,LW,0.14,0.14,0,1.14,8,12.5,15,66.7,-8.2,100.7,40,60,11:52,18:18,1:24,7,1,1,0,0,0,0,0,0,1
Sean Monahan,20,CGY,C,0.77,0.38,0.38,2.36,191,16.2,344,55.5,2,102.4,47.4,52.6,19:37,13:05,1:34,81,31,20,10,31,21,9,0.123,0.111,62
Liam O'Brien,20,WSH,C,0.15,0.08,0.08,1.23,16,6.3,22,72.7,3.6,107.7,61.3,38.7,7:33,8:15,0:01,13,1,1,0,1,1,0,0,0,2
Emile Poirier,20,CGY,RW,0.17,0,0.17,0.33,2,0,7,42.9,-6,105.3,44,56,7:59,14:57,2:31,6,0,0,0,1,1,0,0,0,1
Morgan Rielly,20,TOR,D,0.36,0.1,0.26,1.83,148,5.4,312,47.4,3.6,99,47.6,52.4,20:20,13:54,2:51,81,8,7,1,21,13,8,0.012,0.099,29
Rasmus Ristolainen,20,BUF,D,0.26,0.1,0.15,1.55,121,6.6,222,54.5,-0.6,98.4,39.3,60.7,20:37,13:46,2:03,78,8,4,4,12,7,5,0.051,0.064,20
Kerby Rychel,20,CBJ,LW,0.6,0,0.6,0.8,4,0,10,40,7.7,113.6,53.1,46.9,10:42,15:09,0:00,5,0,0,0,3,3,0,0,0,3
Henrik Samuelsson,20,ARI,C,0,0,0,1.33,4,0,5,80,-8.1,91.3,50,50,13:16,10:40,0:05,3,0,0,0,0,0,0,0,0,0
Damon Severson,20,NJD,D,0.33,0.1,0.24,1.82,93,5.4,207,44.9,3.7,98,45.5,54.5,21:58,15:21,3:02,51,5,5,0,12,5,7,0,0.137,17
Teuvo Teravainen,20,CHI,LW,0.26,0.12,0.15,1.94,66,6.1,103,64.1,1.5,100.9,61.8,38.2,12:47,14:55,1:49,34,4,4,0,5,4,1,0,0.029,9
Chris Tierney,20,SJS,C,0.49,0.14,0.35,1.12,48,12.5,89,53.9,-4.5,101.9,49.6,50.4,12:15,12:32,2:01,43,6,5,1,15,12,3,0.023,0.07,21
Jacob Trouba,20,WPG,D,0.34,0.11,0.23,2.05,133,5.3,320,41.6,1.2,99,51.1,48.9,23:19,12:44,1:09,65,7,6,1,15,10,5,0.015,0.077,22
Alexander Wennberg,20,CBJ,C,0.29,0.06,0.24,1.25,85,4.7,144,59,0.2,96.2,47.5,52.5,15:37,13:08,0:37,68,4,3,1,16,13,3,0.015,0.044,20
Tom Wilson,20,WSH,RW,0.25,0.06,0.19,1.18,79,5.1,150,52.7,2.8,98.9,57.4,42.6,10:56,10:45,0:46,67,4,4,0,13,13,0,0,0,17
Bogdan Yakimov,20,EDM,C,0,0,0,1,1,0,1,100,8.7,66.7,100,0,11:19,8:34,0:04,1,0,0,0,0,0,0,0,0,0
Sven Andrighetto,21,MTL,RW,0.25,0.17,0.08,1,12,16.7,21,57.1,1.2,105.4,60.4,39.6,9:25,15:19,0:11,12,2,2,0,1,1,0,0,0,3
Joel Armia,21,BUF,RW,0,0,0,0,0,,0,,-0.9,100,40,60,14:47,14:02,2:02,1,0,0,0,0,0,0,0,0,0
Viktor Arvidsson,21,NSH,LW,0,0,0,1.5,9,0,18,50,-4.1,100.3,54,46,10:15,16:29,3:49,6,0,0,0,0,0,0,0,0,0
Reid Boucher,21,NJD,LW,0.09,0.09,0,1.82,20,5,37,54.1,5.4,95.4,60.9,39.1,11:08,14:01,0:57,11,1,1,0,0,0,0,0,0,1
Jonas Brodin,21,MIN,D,0.24,0.04,0.2,1.34,95,3.2,186,51.1,-0.2,102.1,50.4,49.6,24:10,13:09,0:32,71,3,3,0,14,11,2,0,0.028,17
Cody Ceci,21,OTT,D,0.26,0.06,0.2,1.6,130,3.8,245,53.1,-1.3,99.6,49.9,50.1,19:17,14:41,2:04,81,5,4,1,16,13,3,0.012,0.037,21
Frank Corrado,21,VAN,D,0.1,0.1,0,0.8,8,12.5,16,50,-6.5,89.3,47.9,52.1,15:40,13:17,0:05,10,1,1,0,0,0,0,0,0,1
Nick Cousins,21,PHI,C,0,0,0,0.55,6,0,9,66.7,-0.9,103,56.5,43.5,8:49,13:49,1:52,11,0,0,0,0,0,0,0,0,0
Phillip Danault,21,CHI,C,0,0,0,1,2,0,4,50,12.5,100,84.6,15.4,9:30,8:56,0:09,2,0,0,0,0,0,0,0,0,0
Tyler Gaudet,21,ARI,C,0,0,0,0.5,1,0,1,100,-25.9,90,28.6,71.4,9:35,17:36,3:51,2,0,0,0,0,0,0,0,0,0
Johnny Gaudreau,21,CGY,LW,0.8,0.3,0.5,2.09,167,14.4,282,59.2,3.7,102.9,56,44,17:43,13:03,0:27,80,24,16,8,40,27,13,0.1,0.163,64
Zemgus Girgensons,21,BUF,C,0.49,0.25,0.25,1.89,115,13,183,62.8,-0.6,99.3,40.4,59.6,19:05,13:07,0:01,61,15,11,1,15,12,3,0.016,0.049,30
Barclay Goodrow,21,SJS,RW,0.2,0.07,0.13,1.13,68,5.9,131,51.9,-5.2,100.3,46.3,53.7,11:04,15:21,2:09,60,4,4,0,8,7,0,0,0,12
Shayne Gostisbehere,21,PHI,D,0,0,0,1,2,0,6,33.3,-3.8,87.5,63.6,36.4,12:34,14:28,2:49,2,0,0,0,0,0,0,0,0,0
Markus Granlund,21,CGY,C,0.38,0.17,0.21,1.35,65,12.3,121,53.7,-4.7,99.9,52.2,47.8,13:22,7:18,0:09,48,8,7,1,10,9,1,0.021,0.021,18
Tyler Graovac,21,MIN,C,0,0,0,1.33,4,0,6,66.7,-9,100,50,50,9:13,10:35,0:16,3,0,0,0,0,0,0,0,0,0
Rocco Grimaldi,21,FLA,C,0.14,0.14,0,2.57,18,5.6,26,69.2,12.6,97.9,45.8,54.2,12:37,10:32,0:04,7,1,1,0,0,0,0,0,0,1
Dougie Hamilton,21,BOS,D,0.58,0.14,0.44,2.61,188,5.3,390,48.2,5.1,98.2,48.7,51.3,21:20,12:20,0:06,72,10,5,5,32,22,10,0.069,0.139,42
Scott Harrington,21,PIT,D,0,0,0,0.9,9,0,17,52.9,0.6,85.8,58.4,41.6,15:48,19:12,2:33,10,0,0,0,0,0,0,0,0,0
Tomas Hertl,21,SJS,C,0.38,0.16,0.22,1.77,145,9,286,50.3,3.7,99,47.6,52.4,14:33,15:10,2:21,82,13,10,3,18,15,3,0.037,0.037,31
Jonathan Huberdeau,21,FLA,LW,0.68,0.19,0.49,2.14,169,8.9,265,64.2,2.2,101.7,51.1,48.9,16:45,18:15,1:17,79,15,15,0,39,27,12,0,0.152,54
Dmitrij Jaskin,21,STL,RW,0.33,0.24,0.09,2,108,12,191,56.5,3.4,99.9,46.8,53.2,13:28,14:59,2:58,54,13,10,3,5,5,0,0.056,0,18
Boone Jenner,21,CBJ,C,0.55,0.29,0.26,2.68,83,10.8,136,60.3,2.7,98.8,44.7,55.3,18:16,12:39,0:39,31,9,7,2,8,5,3,0.065,0.097,17
Nicklas Jensen,21,VAN,RW,0,0,0,1.4,7,0,9,77.8,0.8,93.8,52.8,47.2,9:33,13:29,1:54,5,0,0,0,0,0,0,0,0,0
Alexander Khokhlachev,21,BOS,C,0,0,0,0.33,1,0,1,100,-9.2,86.7,86.7,13.3,8:12,9:32,0:05,3,0,0,0,0,0,0,0,0,0
Oscar Klefbom,21,EDM,D,0.33,0.03,0.3,1.63,98,2,227,43.2,4.3,95.6,57.8,42.2,22:00,14:14,0:15,60,2,2,0,18,16,2,0,0.033,20
Nikita Kucherov,21,TBL,RW,0.79,0.35,0.44,2.33,191,15.2,329,58.7,4.3,104,60.7,39.3,14:57,14:09,2:48,82,29,27,2,36,23,13,0.024,0.159,65
Brett Kulak,21,CGY,D,0,0,0,0,0,,2,0,,95.8,100,0,19:31,18:20,0:31,1,0,0,0,0,0,0,0,0,0
Josh Leivo,21,TOR,LW,0.11,0.11,0,1.11,10,10,16,62.5,7.2,95.9,58.7,41.3,7:39,11:59,0:36,9,1,1,0,0,0,0,0,0,1
Petteri Lindbohm,21,STL,D,0.13,0.09,0.04,1.39,32,6.3,53,60.4,-0.6,98.8,50.7,49.3,15:34,10:36,0:02,23,2,2,0,1,1,0,0,0,3
Hampus Lindholm,21,ANA,D,0.44,0.09,0.35,1.37,107,6.5,235,45.5,0.4,104,49.2,50.8,21:46,10:35,0:06,78,7,7,0,27,21,6,0,0.077,34
Keegan Lowe,21,CAR,D,0,0,0,0,0,,4,0,-25.2,89.5,55,45,13:51,17:03,0:12,2,0,0,0,0,0,0,0,0,0
Adam Lowry,21,WPG,LW,0.29,0.14,0.15,1.3,104,10.6,185,56.2,2.3,98.9,54,46,13:45,15:27,3:01,80,11,10,0,12,9,3,0,0.038,23
Jake McCabe,21,BUF,D,0,0,0,1,2,0,3,66.7,15.2,100,46.7,53.3,11:08,13:55,0:54,2,0,0,0,0,0,0,0,0,0
J.T. Miller,21,NYR,C,0.4,0.17,0.22,1.59,92,10.9,155,59.4,1.7,101.2,52.3,47.7,12:42,14:18,2:05,58,10,8,2,13,12,1,0.034,0.017,23
Connor Murphy,21,ARI,D,0.1,0.05,0.04,0.99,72,5.6,160,45,-4.6,97,51.5,48.5,16:48,10:45,0:27,73,4,4,0,3,3,0,0,0,7
Ryan Murphy,21,CAR,D,0.35,0.11,0.24,1.65,61,6.6,127,48,-2,96.1,60.7,39.3,18:17,7:00,0:01,37,4,1,3,9,7,2,0.081,0.054,13
Ryan Murray,21,CBJ,D,0.25,0.08,0.17,0.67,8,12.5,17,47.1,2.1,98.8,49.7,50.3,18:55,13:44,0:04,12,1,0,1,2,2,0,0.083,0,3
David Musil,21,EDM,D,0.5,0,0.5,0.75,3,0,7,42.9,0.7,100.4,47.5,52.5,19:48,9:17,0:06,4,0,0,0,2,2,0,0,0,2
Nikita Nesterov,21,TBL,D,0.26,0.07,0.19,1.63,44,4.5,92,51.1,5,101.1,51.6,48.4,16:03,10:33,0:05,27,2,1,1,5,4,1,0.037,0.037,7
Stefan Noesen,21,ANA,RW,0,0,0,0,0,,1,0,-16,100,0,100,6:54,11:17,0:15,1,0,0,0,0,0,0,0,0,0
Ryan Nugent-Hopkins,21,EDM,C,0.74,0.32,0.42,2.49,189,12.7,359,52.6,2.7,98.6,62.9,37.1,20:38,9:10,0:04,76,24,22,2,32,19,12,0.026,0.158,56
Xavier Ouellet,21,DET,D,0.14,0.1,0.05,1.29,27,7.4,66,40.9,4.2,101.7,61.3,38.7,16:23,7:18,0:02,21,2,2,0,1,1,0,0,0,3
Michael Paliotta,21,CHI,D,1,0,1,2,2,0,3,66.7,,105.7,50,50,12:45,15:48,2:54,1,0,0,0,1,1,0,0,0,1
Cedric Paquette,21,TBL,C,0.3,0.19,0.11,1.42,91,13.2,147,59.9,-3.4,99.4,47.2,52.8,13:37,10:51,0:00,64,12,10,0,7,7,0,0,0,19
Stuart Percy,21,TOR,D,0.33,0,0.33,1.44,13,0,24,54.2,-5.4,93.9,33.3,66.7,18:05,15:51,0:18,9,0,0,0,3,1,2,0,0.222,3
Derrick Pouliot,21,PIT,D,0.21,0.06,0.15,1.65,56,3.6,114,49.1,1.7,96.4,57.1,42.9,17:33,15:28,0:01,34,2,1,1,5,2,3,0.029,0.088,7
Rickard Rakell,21,ANA,C,0.44,0.13,0.31,1.48,105,8.6,192,54.7,2.6,101.1,51.1,48.9,12:34,18:45,3:53,71,9,7,2,22,15,7,0.028,0.099,31
Victor Rask,21,CAR,C,0.41,0.14,0.28,2.15,172,6.4,297,58.2,2.4,96.4,56.9,43.1,16:20,17:01,1:18,80,11,9,2,22,13,9,0.025,0.113,33
Ty Rattie,21,STL,RW,0.18,0,0.18,0.73,8,0,18,44.4,-0.8,99,64.1,35.9,9:06,13:18,2:20,11,0,0,0,2,2,0,0,0,2
Griffin Reinhart,21,NYI,D,0.13,0,0.13,0.5,4,0,11,36.4,-5.7,104,44.1,55.9,14:10,14:02,2:20,8,0,0,0,1,1,0,0,0,1
Brett Ritchie,21,DAL,RW,0.29,0.19,0.1,2.52,78,7.7,139,56.1,1.7,99.4,55.3,44.7,13:59,14:59,0:04,31,6,6,0,3,2,1,0,0.032,9
Miikka Salomaki,21,NSH,RW,1,1,0,4,4,25,4,100,13.9,116.7,100,0,10:49,14:08,0:00,1,1,1,0,0,0,0,0,0,1
Mark Scheifele,21,WPG,C,0.6,0.18,0.41,2.07,170,8.8,304,54.9,0.7,100.9,48.8,51.2,18:35,11:03,0:04,82,15,12,3,34,24,10,0.037,0.122,49
Duncan Siemens,21,COL,D,0,0,0,0,0,,0,,5,101.8,66.7,33.3,14:00,8:28,0:02,1,0,0,0,0,0,0,0,0,0
Colin Smith,21,COL,C,0,0,0,1,1,0,1,100,-4.5,100,85.7,14.3,6:06,10:14,0:07,1,0,0,0,0,0,0,0,0,0
Ryan Strome,21,NYI,C,0.62,0.21,0.41,2.21,179,9.5,286,62.6,1.3,100.8,50.1,49.9,15:24,9:13,2:07,81,17,15,1,33,26,7,0.012,0.086,50
Vincent Trocheck,21,FLA,C,0.44,0.14,0.3,1.78,89,7.9,147,60.5,1.9,102,55.6,44.4,14:00,16:38,0:46,50,7,6,1,15,15,0,0.02,0,22
Tyler Wotherspoon,21,CGY,D,0,0,0,1,1,0,6,33.3,,40,20,80,20:19,9:13,0:03,1,0,0,0,0,0,0,0,0,0
Nail Yakupov,21,EDM,RW,0.41,0.17,0.23,2.36,191,7.3,337,56.7,-2.3,95.3,61,39,15:27,19:34,1:35,81,14,9,5,19,14,5,0.062,0.062,33
Mika Zibanejad,21,OTT,C,0.58,0.25,0.33,1.88,150,13.3,293,51.2,0.2,101.1,55.4,44.6,16:26,14:55,0:42,80,20,16,4,26,16,10,0.05,0.125,46
Sven Baertschi,22,TOT,LW,0.33,0.11,0.22,0.83,15,13.3,24,62.5,-1.2,98.1,48.9,51.1,9:41,14:24,1:30,18,2,2,0,4,4,0,0,0,6
Kyle Baun,22,CHI,RW,0,0,0,1.33,4,0,8,50,-1,92.3,71.4,28.6,12:32,19:09,3:14,3,0,0,0,0,0,0,0,0,0
Nathan Beaulieu,22,MTL,D,0.14,0.02,0.13,0.97,62,1.6,147,42.2,0.2,101.2,49.6,50.4,15:42,18:24,1:50,64,1,1,0,8,6,2,0,0.031,9
Nick Bjugstad,22,FLA,C,0.6,0.33,0.26,2.88,207,11.6,325,63.7,0,98.8,52.8,47.2,16:35,14:07,2:16,72,24,17,7,19,14,5,0.097,0.069,43
Michael Bournival,22,MTL,LW,0.17,0.1,0.07,0.93,27,11.1,46,58.7,1.2,102.5,41.2,58.8,7:53,7:02,0:08,29,3,3,0,2,2,0,0,0,5
Patrick Brown,22,CAR,C,0,0,0,0.57,4,0,10,40,-4.1,85.4,51.9,48.1,8:53,14:05,1:04,7,0,0,0,0,0,0,0,0,0
Sam Carrick,22,TOR,C,0.13,0.06,0.06,1.06,17,5.9,24,70.8,1.2,102.5,47.5,52.5,6:29,8:44,0:03,16,1,1,0,1,1,0,0,0,2
Michael Chaput,22,CBJ,C,0.15,0.03,0.12,0.7,23,4.3,40,57.5,-10.9,97.1,41.7,58.3,10:12,11:52,0:00,33,1,1,0,4,4,0,0,0,5
Adam Clendening,22,TOT,D,0.19,0.05,0.14,0.81,17,5.9,49,34.7,1.7,101.7,54.9,45.1,16:38,11:31,0:29,21,1,0,1,3,1,2,0.048,0.095,4
Brett Connolly,22,TOT,RW,0.31,0.22,0.09,1.51,83,14.5,143,58,1.5,99.9,54.2,45.8,12:09,6:27,0:00,55,12,10,2,5,4,1,0.036,0.018,17
Sean Couturier,22,PHI,C,0.45,0.18,0.27,1.8,148,10.1,271,54.6,-1.8,102.3,40.1,59.9,18:23,8:34,1:52,82,15,13,1,22,16,5,0.012,0.061,37
Charlie Coyle,22,MIN,C,0.43,0.13,0.29,1.46,120,9.2,215,56.3,-0.5,102.3,44.3,55.7,14:33,17:36,0:17,82,11,10,1,24,22,2,0.012,0.024,35
Emerson Etem,22,ANA,LW,0.22,0.11,0.11,1.71,77,6.5,135,57,2.8,96.8,53.8,46.3,12:15,13:13,1:20,45,5,5,0,5,5,0,0,0,10
Justin Faulk,22,CAR,D,0.6,0.18,0.41,2.9,238,6.3,452,52.7,3.8,96.4,51.2,48.8,24:26,14:50,2:23,82,15,6,7,34,21,13,0.085,0.159,49
Micheal Ferland,22,CGY,LW,0.19,0.08,0.12,1.31,34,5.9,67,53.7,1.1,101.3,44.9,55.1,10:31,12:14,1:41,26,2,2,0,3,2,1,0,0.038,5
Brian Ferlin,22,BOS,RW,0.14,0,0.14,0.86,6,0,15,40,-11,99.6,39.3,60.7,8:48,14:39,2:38,7,0,0,0,1,1,0,0,0,1
Max Friberg,22,ANA,LW,0,0,0,0,0,,1,0,-30.9,100,71.4,28.6,8:47,17:17,1:29,1,0,0,0,0,0,0,0,0,0
Brendan Gallagher,22,MTL,RW,0.57,0.29,0.28,3.1,254,9.4,460,55.2,7.9,102.1,55.2,44.8,16:35,13:44,2:21,82,24,21,3,23,18,5,0.037,0.061,47
Brandon Gormley,22,ARI,D,0.15,0.07,0.07,1.44,39,5.1,74,52.7,0.8,95.9,56.9,43.1,15:19,16:44,0:19,27,2,1,1,2,2,0,0.037,0,4
Petter Granberg,22,TOR,D,0,0,0,0.14,1,0,2,50,-10.7,101.4,53.3,46.7,11:27,11:58,2:51,7,0,0,0,0,0,0,0,0,0
Mikael Granlund,22,MIN,C,0.57,0.12,0.46,1.46,99,8.1,194,51.5,1.3,101.6,59.6,40.4,17:54,12:57,0:00,68,8,8,0,31,23,8,0,0.118,39
Seth Griffith,22,BOS,C,0.33,0.2,0.13,1.1,33,18.2,69,47.8,-3.9,100.2,52.2,47.8,13:27,9:04,0:07,30,6,5,1,4,2,2,0.033,0.067,10
Kevin Hayes,22,NYR,RW,0.57,0.22,0.35,1.41,111,15.3,180,61.7,1.9,102.7,60.9,39.1,13:02,10:56,1:44,79,17,15,1,28,24,4,0.013,0.051,45
Raman Hrabarenka,22,NJD,D,0,0,0,0,0,,0,,,125,100,0,11:55,13:46,2:46,1,0,0,0,0,0,0,0,0,0
Ryan Johansen,22,CBJ,C,0.87,0.32,0.55,2.46,202,12.9,354,57.1,1.5,99.9,49.9,50.1,19:30,9:59,0:52,82,26,17,7,45,26,19,0.085,0.232,71
Tomas Jurco,22,DET,RW,0.29,0.05,0.24,1.46,92,3.3,169,54.4,2.5,100.3,52.2,47.8,11:31,18:45,2:56,63,3,2,1,15,14,1,0.016,0.016,18
William Karlsson,22,TOT,C,0.24,0.14,0.1,1.38,29,10.3,52,55.8,-1.4,103,57.7,42.3,12:14,14:54,2:48,21,3,3,0,2,1,1,0,0.048,5
John Klingberg,22,DAL,D,0.62,0.17,0.45,1.51,98,11.2,237,41.4,2.4,100.3,50,50,21:50,13:39,0:53,65,11,9,2,29,19,10,0.031,0.154,40
Evgeny Kuznetsov,22,WSH,C,0.46,0.14,0.33,1.59,127,8.7,229,55,-2.1,103.6,56.4,43.6,13:20,10:39,0:44,80,11,7,4,26,17,9,0.05,0.113,37
Gabriel Landeskog,22,COL,LW,0.72,0.28,0.44,2.61,214,10.7,349,61.3,7,99.8,43.9,56.1,18:30,15:28,0:03,82,23,15,8,36,27,9,0.098,0.11,59
Adam Larsson,22,NJD,D,0.38,0.05,0.33,1.42,91,3.3,182,50.5,-0.2,100.9,38,62,20:58,17:13,0:01,64,3,3,0,21,18,0,0,0,24
Johan Larsson,22,BUF,LW,0.41,0.15,0.26,1.28,50,12,88,56.8,4.6,101.3,46.2,53.8,14:31,13:34,0:04,39,6,5,1,10,7,3,0.026,0.077,16
Lucas Lessio,22,ARI,LW,0.19,0.08,0.12,1.69,44,4.5,63,69.8,1.6,93.8,56.8,43.2,12:45,11:28,0:27,26,2,2,0,3,3,0,0,0,5
Martin Marincin,22,EDM,D,0.12,0.02,0.1,0.93,38,2.6,114,33.3,0.5,98.6,43.1,56.9,18:39,11:11,0:08,41,1,1,0,4,4,0,0,0,5
Jordan Martinook,22,ARI,C,0.13,0,0.13,1,8,0,22,36.4,5.9,93,60,40,11:42,8:29,0:02,8,0,0,0,1,1,0,0,0,1
Dylan McIlrath,22,NYR,D,0,0,0,0,0,,0,,14.2,100,42.9,57.1,8:02,15:54,0:03,1,0,0,0,0,0,0,0,0,0
Greg McKegg,22,TOR,C,0,0,0,0.33,1,0,1,100,-11.1,100,36.8,63.2,9:11,13:40,0:01,3,0,0,0,0,0,0,0,0,0
Jonathon Merrill,22,NJD,D,0.21,0.03,0.18,0.71,47,4.3,115,40.9,-1.1,99,47,53,20:33,15:39,2:25,66,2,0,2,12,9,2,0.03,0.03,14
Joseph Morrow,22,BOS,D,0.07,0.07,0,1.33,20,5,48,41.7,-4.4,103.8,48.9,51.1,16:41,17:45,0:41,15,1,1,0,0,0,0,0,0,1
Vladislav Namestnikov,22,TBL,C,0.37,0.21,0.16,1.07,46,19.6,72,63.9,-2.3,100.7,52.1,47.9,12:00,15:32,1:20,43,9,8,1,7,6,1,0.023,0.023,16
Patrik Nemeth,22,DAL,D,0.14,0,0.14,0.73,16,0,41,39,-1,99.5,57.1,42.9,16:13,13:56,1:36,22,0,0,0,3,3,0,0,0,3
Nino Niederreiter,22,MIN,RW,0.46,0.3,0.16,1.86,149,16.1,272,54.4,2.3,99.7,42.1,57.9,14:33,16:52,0:37,80,24,17,6,13,11,2,0.075,0.025,37
