,,,,Per Game,Per Game,Per Game,Per Game,,,,,Corsi (EV),PDO (EV),Zone Starts (EV),Zone Starts (EV),Ice Time,Even Strength,Power Play,Scoring,Scoring,Goals,Goals,Scoring,Assists,Assists,Power Play,Power Play,Scoring
Kyle Connor,20,WPG,LW,0.25,0.1,0.15,1.2,24,8.3,41,58.5,-4.3,94.7,50.9,49.1,12:13,10:49,1:23,20,2,2,0,3,1,2,0,0.1,5
Mikko Rantanen,20,COL,RW,0.51,0.27,0.24,1.77,133,15,242,55,0.7,96.8,52.6,47.4,18:03,15:15,2:43,75,20,16,4,18,12,6,0.053,0.08,38
Nick Schmaltz,20,CHI,LW,0.46,0.1,0.36,1.08,66,9.1,127,52,-1.3,103.3,57.5,42.5,13:16,12:11,1:02,61,6,6,0,22,20,2,0,0.033,28
Nikolaj Ehlers,20,WPG,LW,0.78,0.3,0.48,2.49,204,12.3,377,53.8,3.1,100.5,55.1,44.9,17:29,14:51,2:36,82,25,20,5,39,32,7,0.061,0.085,64
Noah Hanifin,20,CAR,D,0.36,0.05,0.31,1.33,108,3.7,270,40,-0.7,97.6,60.9,39.1,17:55,15:51,2:01,81,4,2,2,25,16,9,0.025,0.111,29
Sam Bennett,20,CGY,C,0.32,0.16,0.16,1.51,122,10.7,215,56.7,-2.5,97,56.1,43.9,14:59,12:37,1:14,81,13,9,4,13,12,0,0.049,0,26
Timo Meier,20,SJS,RW,0.18,0.09,0.09,2.5,85,3.5,156,54.5,7.1,98.3,47.6,52.4,12:28,11:52,0:11,34,3,3,0,3,3,0,0,0,6
William Nylander,20,TOR,C,0.75,0.27,0.48,2.53,205,10.7,363,56.5,3.6,99.1,56.8,43.2,16:01,13:36,2:22,81,22,13,9,39,22,17,0.111,0.21,61
Adam Erne,21,TBL,LW,0.12,0.12,0,1.54,40,7.5,65,61.5,0,93.3,52.1,47.9,11:48,10:46,1:01,26,3,3,0,0,0,0,0,0,3
Aleksander Barkov,21,FLA,C,0.85,0.34,0.51,2.33,142,14.8,226,62.8,5.2,101.2,57.2,42.8,19:24,15:12,2:54,61,21,18,3,31,20,11,0.049,0.18,52
Andre Burakovsky,21,WSH,LW,0.55,0.19,0.36,1.73,111,10.8,222,50,5.5,102.8,57.6,42.4,13:16,11:48,1:27,64,12,10,2,23,20,3,0.031,0.047,35
Anthony DeAngelo,21,ARI,D,0,0,0,0.44,60,8.3,111,54.1,1.5,97.3,56.5,43.5,17:06,14:35,2:26,39,5,3,2,9,3,6,0.051,0.154,14
Anthony Duclair,21,ARI,LW,0.26,0.09,0.17,1.31,76,6.6,146,52.1,2.1,99.6,56.7,43.3,13:18,12:02,1:15,58,5,5,0,10,8,2,0,0.034,15
Anton Blidh,21,BOS,LW,0.11,0.05,0.05,1.37,26,3.8,47,55.3,-1.2,95.3,59.6,40.4,8:47,8:29,0:01,19,1,1,0,1,1,0,0,0,2
Artturi Lehkonen,21,MTL,LW,0.38,0.25,0.14,2.16,158,11.4,279,56.6,0.3,99.4,44.5,55.5,13:52,12:27,0:55,73,18,15,2,10,8,2,0.027,0.027,28
Bo Horvat,21,VAN,C,0.48,0.19,0.29,1.05,158,12.7,286,55.2,-0.1,99.8,47.4,52.6,18:02,14:16,1:55,81,20,15,3,32,25,7,0.037,0.086,52
Curtis Lazar,21,TOT,RW,0.11,0.03,0.08,0.7,26,3.8,47,55.3,-10.1,96.3,51.4,48.6,9:08,8:43,0:06,37,1,1,0,3,3,0,0,0,4
Darnell Nurse,21,EDM,D,0.25,0.11,0.14,1.93,85,5.9,145,58.6,0.1,100.4,52.1,47.9,17:01,15:43,0:06,44,5,5,0,6,6,0,0,0,11
Frederik Gauthier,21,TOR,C,0.14,0.1,0.05,0.71,15,13.3,25,60,-2.7,104.5,28.2,71.8,9:42,8:33,0:05,21,2,2,0,1,1,0,0,0,3
Ivan Barbashev,21,STL,C,0.4,0.17,0.23,0.67,20,25,41,48.8,-0.5,104.5,44,56,11:47,10:52,0:54,30,5,5,0,7,7,0,0,0,12
J.T. Compher,21,COL,LW,0.24,0.14,0.1,1.43,30,10,59,50.8,-5,100.4,38.6,61.4,14:56,12:13,1:51,21,3,2,1,2,2,0,0.048,0,5
Jonathan Drouin,21,TBL,LW,0.73,0.29,0.44,2.51,183,11.5,323,56.7,1.5,98.6,58.1,41.9,17:42,14:37,3:05,73,21,12,9,32,15,17,0.123,0.233,53
Josh Morrissey,21,WPG,D,0.24,0.07,0.17,1.21,99,6.1,218,45.4,1.8,100.4,48.4,51.6,19:29,17:59,0:37,82,6,5,1,14,14,0,0.012,0,20
Joshua Ho-Sang,21,NYI,RW,0.31,0.06,0.25,2.13,22,18.2,44,50,4.9,101.1,60.3,39.7,16:27,14:02,2:24,21,4,3,1,6,5,1,0.048,0.048,10
Julius Honka,21,DAL,D,0.64,0.25,0.4,1.95,34,2.9,61,55.7,7.3,93.2,53.5,46.5,16:52,15:28,1:23,16,1,1,0,4,3,1,0,0.063,5
Justin Bailey,21,BUF,RW,0.13,0.06,0.06,1.13,36,5.6,75,48,-3.5,101.9,42.5,57.5,10:38,10:37,0:00,32,2,2,0,2,2,0,0,0,4
Kevin Labanc,21,SJS,RW,0.36,0.15,0.22,1.27,70,11.4,149,47,-0.7,102.5,52.6,47.4,13:41,12:21,1:08,55,8,8,0,12,10,2,0,0.036,20
Laurent Dauphin,21,ARI,C,0.13,0.08,0.04,1.33,32,6.3,41,78,-0.6,98.6,31.1,68.9,10:55,9:10,0:01,24,2,1,0,1,1,0,0,0,3
Leon Draisaitl,21,EDM,C,0.94,0.35,0.59,2.1,172,16.9,298,58.1,2.9,100.7,54,46,18:53,15:32,2:54,82,29,19,10,48,31,17,0.122,0.207,77
Max Domi,21,ARI,LW,0.64,0.15,0.49,1.83,108,8.3,209,51.7,2,100.9,48.3,51.7,16:59,14:18,2:33,59,9,8,1,29,22,7,0.017,0.119,38
Michael McCarron,21,MTL,RW,0.16,0.03,0.13,1,31,3.2,56,55.4,-5.7,98.1,52.3,47.7,9:53,9:26,0:26,31,1,1,0,4,4,0,0,0,5
Miles Wood,21,NJD,LW,0.28,0.13,0.15,1.75,105,7.6,166,63.3,-6.8,96.7,44.8,55.2,12:51,11:23,1:26,60,8,6,2,9,7,2,0.033,0.033,17
Nathan MacKinnon,21,COL,C,0.65,0.2,0.45,3.06,251,6.4,436,57.8,4.4,97.3,54.3,45.7,19:57,15:25,2:46,82,16,12,2,37,25,12,0.024,0.146,53
Nic Petan,21,WPG,LW,0.24,0.02,0.22,1.06,57,1.8,108,52.8,-0.2,95.7,55.5,44.5,10:54,8:41,2:07,54,1,1,0,12,4,8,0,0.148,13
Nick Ritchie,21,ANA,LW,0.36,0.18,0.18,1.94,149,9.4,261,57.1,2.4,100.2,56.4,43.6,12:59,12:21,0:33,77,14,13,1,14,13,1,0.013,0.013,28
Nikita Zadorov,21,COL,D,0.18,0,0.18,1.09,61,0,157,38.9,-0.6,96.7,44.3,55.7,19:02,16:15,0:38,56,0,0,0,10,8,2,0,0.036,10
Oliver Bjorkstrand,21,CBJ,RW,0.5,0.23,0.27,2.12,55,10.9,90,61.1,5.6,100.5,58.8,41.2,14:05,12:23,1:41,26,6,6,0,7,7,0,0,0,13
Ondrej Kase,21,ANA,RW,0.28,0.09,0.19,1.45,77,6.5,145,53.1,3.5,98.8,57.9,42.1,11:47,11:32,0:13,53,5,5,0,10,10,0,0,0,15
Pavel Buchnevich,21,NYR,RW,0.49,0.2,0.29,1.34,55,14.5,110,50,2.2,103.4,53.4,46.6,13:16,11:22,1:52,41,8,7,1,12,10,2,0.024,0.049,20
Remi Elie,21,DAL,LW,0.39,0.06,0.33,0.83,15,6.7,40,37.5,-5.1,103.2,47.6,52.4,15:38,14:31,0:03,18,1,1,0,6,6,0,0,0,7
Robby Fabbri,21,STL,C,0.57,0.22,0.35,1.78,91,12.1,160,56.9,0.7,96.2,62.1,37.9,15:37,13:17,2:16,51,11,7,4,18,13,5,0.078,0.098,29
Sam Reinhart,21,BUF,C,0.59,0.22,0.38,2.25,178,9.6,280,63.6,2.6,98.3,53.1,46.9,17:13,14:14,2:55,79,17,8,9,30,22,8,0.114,0.101,47
Shea Theodore,21,ANA,D,0.26,0.06,0.21,1.76,60,3.3,126,47.6,0.1,96.8,52.4,47.6,17:19,14:23,2:08,34,2,1,1,7,5,1,0.029,0.029,9
Steven Santini,21,NJD,D,0.18,0.05,0.13,1.21,46,4.3,75,61.3,0.3,98.6,45.2,54.8,16:05,14:40,0:02,38,2,2,0,5,5,0,0,0,7
Tyler Motte,21,CHI,LW,0.21,0.12,0.09,1.39,46,8.7,74,62.2,-8.6,103.6,34.3,65.7,11:23,10:10,0:05,33,4,4,0,3,3,0,0,0,7
Adam Pelech,22,NYI,D,0.23,0.07,0.16,0.91,40,7.5,89,44.9,-1.6,99.9,50.9,49.1,16:50,15:49,0:02,44,3,3,0,7,7,0,0,0,10
Alex Galchenyuk,22,MTL,C,0.72,0.28,0.44,1.7,104,16.3,198,52.5,-1.8,100.2,68.3,31.7,15:56,13:36,2:16,61,17,11,6,27,18,9,0.098,0.148,44
Alexander Wennberg,22,CBJ,C,0.74,0.16,0.58,1.36,109,11.9,186,58.6,1.6,101,59.3,40.7,18:23,15:06,2:38,80,13,11,2,46,25,21,0.025,0.263,59
Andreas Athanasiou,22,DET,C,0.45,0.28,0.17,1.88,120,15,236,50.8,-1,99.9,62.1,37.9,13:28,11:44,1:12,64,18,17,1,11,8,3,0.016,0.047,29
Andrew Copp,22,WPG,C,0.27,0.14,0.13,1.2,77,11.7,126,61.1,-1,101.9,45.5,54.5,12:21,10:44,0:08,64,9,8,0,8,8,0,0,0,17
Anthony Mantha,22,DET,RW,0.6,0.28,0.32,2.22,133,12.8,216,61.6,7.3,100.8,53.4,46.6,15:54,13:57,1:53,60,17,16,1,19,17,2,0.017,0.033,36
Anton Slepyshev,22,EDM,LW,0.24,0.1,0.15,1.34,55,7.3,110,50,-3.1,103.2,50.4,49.6,11:07,10:59,0:06,41,4,4,0,6,6,0,0,0,10
Brady Skjei,22,NYR,D,0.49,0.06,0.43,1.59,127,3.9,230,55.2,3.9,102.1,58.8,41.2,17:28,15:46,1:23,80,5,5,0,34,27,7,0,0.088,39
Brandon Montour,22,ANA,D,0.22,0.07,0.15,1.85,50,4,111,45,-4.2,106.1,52.8,47.2,17:23,15:12,1:53,27,2,2,0,4,3,1,0,0.037,6
Brendan Gaunce,22,VAN,LW,0.09,0,0.09,0.89,51,0,81,63,3.2,99,42.2,57.8,9:29,8:56,0:04,57,0,0,0,5,5,0,0,0,5
Brett Pesce,22,CAR,D,0.24,0.02,0.22,1.33,109,1.8,267,40.4,3.9,101.3,48.2,51.8,21:12,18:25,0:37,82,2,2,0,18,16,2,0,0.024,20
Brock McGinn,22,CAR,LW,0.28,0.12,0.16,1.3,74,9.5,142,52.1,-1.5,96.9,49.3,50.7,12:00,11:08,0:04,57,7,7,0,9,8,0,0,0,16
Chris Tierney,22,SJS,C,0.29,0.14,0.15,1.13,90,12.2,148,60.1,-2.3,99.6,45.1,54.9,14:36,12:32,0:17,80,11,9,1,12,11,0,0.013,0,23
Connor Carrick,22,TOR,D,0.12,0.03,0.09,1.33,89,2.2,215,41.4,2.9,100.8,58.8,41.2,16:20,15:30,0:36,67,2,1,1,6,6,0,0.015,0,8
Damon Severson,22,NJD,D,0.39,0.04,0.35,1.56,125,2.4,276,44.9,4.3,97,54.6,45.4,20:21,17:46,2:14,80,3,3,0,28,15,13,0,0.163,31
Devin Shore,22,DAL,C,0.4,0.16,0.24,1.4,115,11.3,213,54,-2.7,100.2,48.2,51.8,14:08,12:08,1:50,82,13,12,1,20,15,5,0.012,0.061,33
Drake Caggiula,22,EDM,LW,0.3,0.12,0.18,1.55,93,7.5,172,54.1,-2.6,100.5,48.4,51.6,13:14,10:53,1:39,60,7,5,2,11,7,3,0.033,0.05,18
Elias Lindholm,22,CAR,C,0.63,0.15,0.47,2.1,151,7.3,272,55.5,2.1,98.1,49.9,50.1,18:11,14:44,2:12,72,11,8,2,34,21,9,0.028,0.125,45
Esa Lindell,22,DAL,D,0.25,0.08,0.16,1.36,99,6.1,223,44.4,-3.2,101.1,47.7,52.3,21:52,18:47,1:02,73,6,6,0,12,10,2,0,0.027,18
Filip Forsberg,22,NSH,LW,0.71,0.38,0.33,2.85,234,13.2,467,50.3,4.2,98.2,56.4,43.6,18:31,14:26,2:37,82,31,25,3,27,21,6,0.037,0.073,58
Frank Vatrano,22,BOS,C,0.41,0.23,0.18,2.64,116,8.6,194,59.8,3.1,96.7,66.8,33.2,13:29,11:39,1:45,44,10,6,4,8,7,1,0.091,0.023,18
Gemel Smith,22,DAL,C,0.35,0.18,0.18,1.12,19,15.8,32,59.4,0.4,98.5,36.1,63.9,13:35,12:14,0:04,17,3,2,0,3,3,0,0,0,6
Jaccob Slavin,22,CAR,D,0.41,0.06,0.35,1.21,99,5.1,232,43.1,2.5,101,47.4,52.6,23:26,19:23,0:55,82,5,4,0,29,22,4,0,0.049,34
Jacob Trouba,22,WPG,D,0.55,0.13,0.42,2.57,154,5.2,323,47.7,0,100.8,47.8,52.2,24:58:00,20:17,1:40,60,8,6,2,25,22,2,0.033,0.033,33
Jake Dotchin,22,TBL,D,0.31,0,0.31,1.43,50,0,113,44.2,2.6,103.7,60.9,39.1,18:26,17:21,0:55,35,0,0,0,11,11,0,0,0,11
Jake Guentzel,22,PIT,C,0.83,0.4,0.43,2.03,81,19.8,136,59.6,2.9,101.9,60.3,39.7,15:53,14:30,1:22,40,16,15,1,17,15,2,0.025,0.05,33
Joseph Blandisi,22,NJD,LW,0.33,0.11,0.22,0.89,24,12.5,50,48,0.4,95.7,45.6,54.4,13:22,11:40,1:40,27,3,2,1,6,2,4,0.037,0.148,9
Josh Anderson,22,CBJ,RW,0.37,0.22,0.15,1.53,119,14.3,193,61.7,-4.1,103.2,45.8,54.2,12:01,11:45,0:04,78,17,17,0,12,12,0,0,0,29
Marko Dano,22,WPG,C,0.29,0.11,0.18,1.16,44,9.1,77,57.1,-0.8,100.8,44.6,55.4,10:41,9:17,1:21,38,4,2,2,7,7,0,0.053,0,11
Markus Nutivaara,22,CBJ,D,0.11,0.03,0.08,1,66,3,134,49.3,-2.8,101.9,61,39,13:13,13:00,0:10,66,2,2,0,5,5,0,0,0,7
Mathew Dumba,22,MIN,D,0.45,0.14,0.3,1.72,131,8.4,292,44.9,-1.4,102.8,52.9,47.1,20:20,17:25,2:17,76,11,5,6,23,16,6,0.079,0.079,34
Matt Benning,22,EDM,D,0.24,0.05,0.19,1.11,69,4.3,152,45.4,2,101,56.7,43.3,16:37,15:30,0:25,62,3,2,1,12,10,2,0.016,0.032,15
Mike Matheson,22,FLA,D,0.21,0.09,0.12,2.21,179,3.9,314,57,-1.1,99.2,47.8,52.2,21:03,17:56,0:30,81,7,7,0,10,8,1,0,0.012,17
Mikhail Grigorenko,22,COL,C,0.31,0.13,0.17,1.13,85,11.8,147,57.8,-2.4,97.8,48.7,51.3,14:05,11:13,1:46,75,10,10,0,13,9,4,0,0.053,23
Morgan Rielly,22,TOR,D,0.36,0.08,0.28,2.25,171,3.5,352,48.6,0,97.4,46.6,53.4,22:10,18:48,0:58,76,6,5,1,21,17,4,0.013,0.053,27
Nikita Tryamkin,22,VAN,D,0.14,0.03,0.11,0.98,65,3.1,162,40.1,-0.7,99.1,52,48,16:44,15:14,0:01,66,2,2,0,7,7,0,0,0,9
Olli Maatta,22,PIT,D,0.13,0.02,0.11,1.2,66,1.5,129,51.2,-2.5,102.5,50.4,49.6,18:04,15:37,0:07,55,1,1,0,6,6,0,0,0,7
Rasmus Ristolainen,22,BUF,D,0.57,0.08,0.49,2.35,186,3.2,359,51.8,-5.2,100.6,45.1,54.9,26:28:00,20:17,3:11,79,6,5,1,39,14,24,0.013,0.304,45
Ryan Hartman,22,CHI,LW,0.41,0.25,0.16,2.24,170,11.2,261,65.1,2.6,101.7,51.5,48.5,12:46,12:09,0:31,76,19,18,1,12,12,0,0.013,0,31
Sean Monahan,22,CGY,C,0.71,0.33,0.38,2.43,199,13.6,348,57.2,-0.2,100.3,61.3,38.7,17:35,14:03,3:01,82,27,18,8,31,22,9,0.098,0.11,58
Seth Jones,22,CBJ,D,0.56,0.16,0.4,2.03,152,7.9,297,51.2,3,99,53.9,46.1,23:24,19:37,1:39,75,12,11,1,30,24,6,0.013,0.08,42
Slater Koekkoek,22,TBL,D,0.14,0,0.14,0.93,27,0,68,39.7,-2.6,98.5,49.1,50.9,12:59,12:29,0:06,29,0,0,0,4,4,0,0,0,4
Teuvo Teravainen,22,CAR,LW,0.52,0.19,0.33,2.09,169,8.9,298,56.7,5,98.1,58.4,41.6,16:14,13:59,2:14,81,15,10,5,27,17,10,0.062,0.123,42
Tom Wilson,22,WSH,RW,0.23,0.09,0.15,1.16,95,7.4,166,57.2,-2.3,102.4,40.5,59.5,12:56,10:48,0:02,82,7,7,0,12,12,0,0,0,19
Troy Stecher,22,VAN,D,0.34,0.04,0.3,1.76,125,2.4,307,40.7,2.4,99.1,51.2,48.8,19:59,17:12,2:42,71,3,2,1,21,14,7,0.014,0.099,24
Vinnie Hinostroza,22,CHI,LW,0.29,0.12,0.16,1.55,76,7.9,132,57.6,-3.6,100.6,50.7,49.3,11:59,11:39,0:19,49,6,6,0,8,8,0,0,0,14
William Carrier,22,BUF,LW,0.2,0.12,0.07,1.22,50,10,72,69.4,3.5,99.7,51.5,48.5,9:00,8:56,0:00,41,5,5,0,3,3,0,0,0,8
Zach Sanford,22,TOT,LW,0.21,0.1,0.1,0.92,36,11.1,73,49.3,-6.1,102.3,56.4,43.6,10:51,10:04,0:31,39,4,4,0,4,4,0,0,0,8
Adam Lowry,23,WPG,C,0.35,0.18,0.17,1.49,122,12.3,200,61,-1.8,99.6,39.5,60.5,16:03,12:04,1:43,82,15,10,5,14,9,4,0.061,0.049,29
Alan Quine,23,NYI,C,0.3,0.08,0.21,1.34,82,6.1,125,65.6,-3.1,101.1,47.5,52.5,12:31,11:02,1:06,61,5,3,2,13,12,1,0.033,0.016,18
Ben Hutton,23,VAN,D,0.27,0.07,0.2,1.83,130,3.8,267,48.3,0.9,97.2,54.4,45.6,20:30,17:54,2:03,71,5,3,2,14,5,9,0.028,0.127,19
Boone Jenner,23,CBJ,C,0.41,0.22,0.2,2.57,211,8.5,372,56.7,-2.8,102.1,41.8,58.2,16:04,14:04,1:08,82,18,16,0,16,15,1,0,0.012,34
Brett Kulak,23,CGY,D,0.14,0,0.14,0.9,19,0,53,35.8,1.7,98.7,45.7,54.3,14:15,13:50,0:17,21,0,0,0,3,3,0,0,0,3
Brett Ritchie,23,DAL,RW,0.31,0.21,0.1,2.14,167,9.6,312,53.5,1.1,103,40.7,59.3,12:54,11:18,1:34,78,16,15,1,8,7,1,0.013,0.013,24
Cedric Paquette,23,TBL,C,0.17,0.07,0.1,1.17,68,5.9,132,51.5,-2.4,98.3,34.5,65.5,11:31,9:58,0:04,58,4,4,0,6,6,0,0,0,10
Cody Ceci,23,OTT,D,0.22,0.03,0.19,1.81,143,1.4,287,49.8,-5,99.2,45.7,54.3,23:12,19:14,0:56,79,2,2,0,15,12,1,0,0.013,17
Colton Parayko,23,STL,D,0.43,0.05,0.38,2.32,188,2.1,380,49.5,1.2,100.7,49.6,50.4,21:12,17:20,1:45,81,4,0,4,31,24,6,0.049,0.074,35
Colton Sissons,23,NSH,C,0.17,0.14,0.03,0.72,42,19,73,57.5,-8.1,104.5,28.5,71.5,11:07,10:08,0:04,58,8,7,0,2,2,0,0,0,10
Connor Brown,23,TOR,RW,0.44,0.24,0.2,1.7,139,14.4,249,55.8,-0.7,100.8,51.8,48.2,16:12,12:53,1:15,82,20,17,2,16,12,4,0.024,0.049,36
Connor Murphy,23,ARI,D,0.22,0.03,0.19,1.05,81,2.5,186,43.5,1,98.5,41.5,58.5,19:11,17:03,0:16,77,2,1,0,15,15,0,0,0,17
Dmitrij Jaskin,23,STL,RW,0.22,0.02,0.2,1.08,55,1.8,104,52.9,3.1,101.3,49,51,11:33,11:09,0:23,51,1,1,0,10,10,0,0,0,11
Dougie Hamilton,23,CGY,D,0.62,0.16,0.46,2.74,222,5.9,423,52.5,6.9,99.6,47.7,52.3,19:41,16:32,2:15,81,13,11,2,37,24,12,0.025,0.148,50
Dylan DeMelo,23,SJS,D,0.32,0.04,0.28,1.28,32,3.1,70,45.7,0.5,102.4,53.3,46.7,15:54,14:13,1:19,25,1,1,0,7,7,0,0,0,8
Evan Rodrigues,23,BUF,LW,0.2,0.13,0.07,1.7,51,7.8,94,54.3,0,97,56.1,43.9,12:56,11:40,0:11,30,4,3,1,2,2,0,0.033,0,6
Hampus Lindholm,23,ANA,D,0.3,0.09,0.21,1.42,94,6.4,203,46.3,5.7,100.8,47.6,52.4,22:27,18:08,1:52,66,6,5,1,14,10,4,0.015,0.061,20
J.T. Miller,23,NYR,LW,0.68,0.27,0.41,1.61,132,16.7,233,56.7,-3.5,104.4,43.7,56.3,16:22,13:39,1:27,82,22,17,2,34,28,5,0.024,0.061,56
Jake McCabe,23,BUF,D,0.26,0.04,0.22,1.04,79,3.8,176,44.9,-1.9,100.8,46.1,53.9,20:42,18:00,1:03,76,3,2,1,17,14,3,0.013,0.039,20
Jimmy Vesey,23,NYR,LW,0.34,0.2,0.14,1.45,116,13.8,214,54.2,-3.9,99.2,48.8,51.2,13:38,12:04,1:32,80,16,11,5,11,8,3,0.063,0.038,27
Joel Armia,23,WPG,RW,0.33,0.18,0.16,1.95,111,9,195,56.9,-4.6,98.8,42.7,57.3,15:08,12:24,0:52,57,10,6,0,9,7,2,0,0.035,19
